ID	Language_ID	Source	Parameter_ID	NumberValue	Value	Form	Comment_contributor	Loan	Gloss	Comment_glosser	Alternate_gloss
numerals-bagi1246-1-thirty-1	numerals-bagi1246-1	Chan2019	thirty	30	dùɡ mtá	dugmta		FALSE	10·3		
numerals-bagi1246-1-forty-1	numerals-bagi1246-1	Chan2019	forty	40	dùɡ só	dugso		FALSE	10·4		
numerals-bagi1246-1-fifty-1	numerals-bagi1246-1	Chan2019	fifty	50	dùɡ mí	dugmi		FALSE	10·5		
numerals-bagi1246-1-sixty-1	numerals-bagi1246-1	Chan2019	sixty	60	dùɡ mìká	dugmika		FALSE	10·5+1'		
numerals-bagi1246-1-seventy-1	numerals-bagi1246-1	Chan2019	seventy	70	dùɡ tʃí̄lí	dugtsili		FALSE	10·7		
numerals-bagi1246-1-eighty-1	numerals-bagi1246-1	Chan2019	eighty	80	dùɡ marta	dugmarta		FALSE	10·(5’+3)		
numerals-bagi1246-1-ninety-1	numerals-bagi1246-1	Chan2019	ninety	90	dùɡ doso	dugdoso		FALSE	10·(5'+4)		
numerals-bagi1246-1-hundred-1	numerals-bagi1246-1	Chan2019	hundred	100	àrú	aru		FALSE	100		
numerals-bagi1246-1-twohundred-1	numerals-bagi1246-1	Chan2019	twohundred	200	àrú sap	arusap		FALSE	100·2		
numerals-bagi1246-1-thousand-1	numerals-bagi1246-1	Chan2019	thousand	1000	dubú	dubu	< Hausa	TRUE	1000		
numerals-bagi1246-1-twothousand-1	numerals-bagi1246-1	Chan2019	twothousand	2000	dubú sap	dubusap		FALSE	1000·2		
ID	Language_ID	Source	Parameter_ID	NumberValue	Value	Form	Comment_contributor	Loan	Gloss	Comment_glosser	Alternate_gloss
numerals-baka1274-1-one-1	numerals-baka1274-1	Chan2019	one	1	ké̘ɗò	kedo		FALSE	1		
numerals-baka1274-1-two-1	numerals-baka1274-1	Chan2019	two	2	ɡ͡bʀ͡ʙɛ̀	gbrbe		FALSE	2		
numerals-baka1274-1-three-1	numerals-baka1274-1	Chan2019	three	3	ɔ̀tà	ota		FALSE	3		
numerals-baka1274-1-four-1	numerals-baka1274-1	Chan2019	four	4	ɛ̀sɔ̀	eso		FALSE	4		
numerals-baka1274-1-five-1	numerals-baka1274-1	Chan2019	five	5	ìɲì	ini		FALSE	5		
numerals-baka1274-1-six-1	numerals-baka1274-1	Chan2019	six	6	ìɲidɔ̀à kéɽí	inidoakeri	( 5, on it 1 )	FALSE	5+{LIG}1'		
