,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,′,Comment_glosser,Alternate_gloss
96,sand-Phom-ninetysix-1,sand-Phom,Mamta2023,ninetysix,96,pʉəlipɘən-pɘ-wok,pualipeanpewok,,,((20′⋅4)+{Lig}10)+{Lig}6,,
97,sand-Phom-ninetyseven-1,sand-Phom,Mamta2023,ninetyseven,97,pʉəlipɘən-pɘ-ɲət,pualipeanpenat,,,((20′⋅4)+{Lig}10)+{Lig}7,,
98,sand-Phom-ninetyeight-1,sand-Phom,Mamta2023,ninetyeight,98,pʉəlipɘən-pɘ-ʃət,pualipeanpesat,,,((20′⋅4)+{Lig}10)+{Lig}8,,
99,sand-Phom-ninetynine-1,sand-Phom,Mamta2023,ninetynine,99,pʉəlipɘən-pə-ʃʉ,pualipeanpasu,,,((20′⋅4)+{Lig}10)+{Lig}9,,
100,sand-Phom-hundred-1,sand-Phom,Mamta2023,hundred,100,kʰohɯk,khohwk,,,100⋅1,,
101,sand-Phom-hundred-2,sand-Phom,Mamta2023,hundred,100,kʰo,kho,,,100,,
102,sand-Phom-hundred-3,sand-Phom,Mamta2023,hundred,100,kʰo-hɯk,khohwk,,,100⋅1,,
103,sand-Phom-thousand-1,sand-Phom,Mamta2023,thousand,1000,haʧa,hatsa,,,1000,,
104,sand-Phom-thousand-2,sand-Phom,Mamta2023,thousand,1000,hɯk,hwk,,,?,Looks like a mistake.,
105,sand-Phom-thousand-3,sand-Phom,Mamta2023,thousand,1000,haʧa-hɯk,hatsahwk,,,1000⋅1,,
106,sand-Phom-onehundredthousand-1,sand-Phom,Mamta2023,onehundredthousand,100000,lak,lak,,,100000,,
107,sand-Phom-tenmillion-1,sand-Phom,Mamta2023,tenmillion,10000000,kɹoɹ,kror,,,10000000,,
108,sand-Phom-twohundred-1,sand-Phom,Mamta2023,twohundred,200,kʰo-ɲi,khoni,,,100⋅2,,
109,sand-Phom-threehundred-1,sand-Phom,Mamta2023,threehundred,300,kʰo-ʧəm,khotsam,,,100⋅3,,
110,sand-Phom-fourhundred-1,sand-Phom,Mamta2023,fourhundred,400,kʰo-əli,khoali,,,100⋅4,,
111,sand-Phom-fivehundred-1,sand-Phom,Mamta2023,fivehundred,500,kʰo-ŋa,khonga,,,100⋅5,,
112,sand-Phom-sixhundred-1,sand-Phom,Mamta2023,sixhundred,600,kʰo-wok,khowok,,,100⋅6,,
113,sand-Phom-twothousand-1,sand-Phom,Mamta2023,twothousand,2000,haʧa-ɲi,hatsani,,,1000⋅2,,
114,sand-Phom-threethousand-1,sand-Phom,Mamta2023,threethousand,3000,haʧa-ʧəm,hatsatsam,,,1000⋅3,,
115,sand-Phom-fourthousand-1,sand-Phom,Mamta2023,fourthousand,4000,haʧa-əli,hatsaali,,,1000⋅4,,
116,sand-Phom-fivethousand-1,sand-Phom,Mamta2023,fivethousand,5000,haʧa-ŋa,hatsanga,,,1000⋅5,,
117,sand-Phom-sixthousand-1,sand-Phom,Mamta2023,sixthousand,6000,haʧa-wok,hatsawok,,,1000⋅6,,
118,sand-Phom-onehundredandtwenty-1,sand-Phom,Mamta2023,onehundredandtwenty,120,kʰo-hɯk-mɘ-kokʰa,khohwkmekokha,,,(100⋅1)+{Lig}20,,
119,sand-Phom-onehundredandeighty-1,sand-Phom,Mamta2023,onehundredandeighty,180,kʰo-hɯk-mɘ-pʉəli,khohwkmepuali,,,(100⋅1)+{Lig}(20′⋅4),,
