"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work","Gloss.math.with.ones"
"7026",21,"numerals-telu1262-2-twentyone-1","numerals-telu1262-2","Chan2019","twentyone",21,"iruvajokaʈi","iruvajokati",NA,"false","(2⋅10′)[+]1","","","RE-GLOSSED","(2⋅10′)[+]1","2⋅10+1","abs(abs(2*10))+1",1,21,TRUE,"(2⋅10)+1"
"7027",22,"numerals-telu1262-2-twentytwo-1","numerals-telu1262-2","Chan2019","twentytwo",22,"iruvajreɳɖu","iruvajrendu",NA,"false","(2⋅10′)[+]2","","","RE-GLOSSED","(2⋅10′)[+]2","2⋅10+2","abs(abs(2*10))+2",1,22,TRUE,"(2⋅10)+2"
"7028",23,"numerals-telu1262-2-twentythree-1","numerals-telu1262-2","Chan2019","twentythree",23,"iruvajmuːɖu","iruvajmudu",NA,"false","(2⋅10′)[+]3","","","RE-GLOSSED","(2⋅10′)[+]3","2⋅10+3","abs(abs(2*10))+3",1,23,TRUE,"(2⋅10)+3"
"7029",24,"numerals-telu1262-2-twentyfour-1","numerals-telu1262-2","Chan2019","twentyfour",24,"iruvajnaːlugu","iruvajnalugu",NA,"false","(2⋅10′)[+]4","","","RE-GLOSSED","(2⋅10′)[+]4","2⋅10+4","abs(abs(2*10))+4",1,24,TRUE,"(2⋅10)+4"
"7030",25,"numerals-telu1262-2-twentyfive-1","numerals-telu1262-2","Chan2019","twentyfive",25,"iruvajaidu","iruvajaidu",NA,"false","(2⋅10′)[+]5","","","RE-GLOSSED","(2⋅10′)[+]5","2⋅10+5","abs(abs(2*10))+5",1,25,TRUE,"(2⋅10)+5"
"7031",26,"numerals-telu1262-2-twentysix-1","numerals-telu1262-2","Chan2019","twentysix",26,"iruvajaːru","iruvajaru",NA,"false","(2⋅10′)[+]6","","","RE-GLOSSED","(2⋅10′)[+]6","2⋅10+6","abs(abs(2*10))+6",1,26,TRUE,"(2⋅10)+6"
"7032",27,"numerals-telu1262-2-twentyseven-1","numerals-telu1262-2","Chan2019","twentyseven",27,"iruvajeːɖu","iruvajedu",NA,"false","(2⋅10′)[+]7","","","RE-GLOSSED","(2⋅10′)[+]7","2⋅10+7","abs(abs(2*10))+7",1,27,TRUE,"(2⋅10)+7"
"7033",28,"numerals-telu1262-2-twentyeight-1","numerals-telu1262-2","Chan2019","twentyeight",28,"iruvajenimidi","iruvajenimidi",NA,"false","(2⋅10′)[+]8","","(2⋅10′)[+]8{10}","RE-GLOSSED","(2⋅10′)[+]8","2⋅10+8","abs(abs(2*10))+8",1,28,TRUE,"(2⋅10)+8"
"7034",29,"numerals-telu1262-2-twentynine-1","numerals-telu1262-2","Chan2019","twentynine",29,"iruvajtommidi","iruvajtommidi",NA,"false","(2⋅10′)[+]9","","(2⋅10′)[+]9{10}","RE-GLOSSED","(2⋅10′)[+]9","2⋅10+9","abs(abs(2*10))+9",1,29,TRUE,"(2⋅10)+9"
"7035",30,"numerals-telu1262-2-thirty-1","numerals-telu1262-2","Chan2019","thirty",30,"muppaj","muppaj",NA,"false","3⋅10′","","","RE-GLOSSED","3⋅10′","3⋅10","abs(3*10)",1,30,TRUE,"3⋅10"
"7036",31,"numerals-telu1262-2-forty-1","numerals-telu1262-2","Chan2019","forty",40,"nalabʰaj","nalabhaj",NA,"false","4⋅10′","","","RE-GLOSSED","4⋅10′","4⋅10","abs(4*10)",1,40,TRUE,"4⋅10"
"7037",32,"numerals-telu1262-2-fifty-1","numerals-telu1262-2","Chan2019","fifty",50,"jaːbʰaj","jabhaj",NA,"false","5⋅10′","","","RE-GLOSSED","5⋅10′","5⋅10","abs(5*10)",1,50,TRUE,"5⋅10"
"7038",33,"numerals-telu1262-2-sixty-1","numerals-telu1262-2","Chan2019","sixty",60,"aravaj","aravaj",NA,"false","6⋅10′","","","RE-GLOSSED","6⋅10′","6⋅10","abs(6*10)",1,60,TRUE,"6⋅10"
"7039",34,"numerals-telu1262-2-seventy-1","numerals-telu1262-2","Chan2019","seventy",70,"ɖebbaj","debbaj",NA,"false","7⋅10′","","","RE-GLOSSED","7⋅10′","7⋅10","abs(7*10)",1,70,TRUE,"7⋅10"
"7040",35,"numerals-telu1262-2-eighty-1","numerals-telu1262-2","Chan2019","eighty",80,"enabʰaj","enabhaj",NA,"false","8⋅10′","","","RE-GLOSSED","8⋅10′","8⋅10","abs(8*10)",1,80,TRUE,"8⋅10"
"7041",36,"numerals-telu1262-2-ninety-1","numerals-telu1262-2","Chan2019","ninety",90,"tombʰaj","tombhaj",NA,"false","9⋅10′","","","RE-GLOSSED","9⋅10′","9⋅10","abs(9*10)",1,90,TRUE,"9⋅10"
"7042",37,"numerals-telu1262-2-hundred-1","numerals-telu1262-2","Chan2019","hundred",100,"nuːru","nuru",NA,"false","100","","","RE-GLOSSED","100","100","100",1,100,TRUE,"100"
"7043",38,"numerals-telu1262-2-hundred-2","numerals-telu1262-2","Chan2019","hundred",100,"vanda","vanda",NA,"false","100′","","","RE-GLOSSED","100′","100","100",1,100,TRUE,"100"
"7044",39,"numerals-telu1262-2-twohundred-1","numerals-telu1262-2","Chan2019","twohundred",200,"reɳɖuvandalu","renduvandalu",NA,"false","2⋅100′{?}","","","RE-GLOSSED","2⋅100′","2⋅100","abs(2*100)",1,200,TRUE,"2⋅100"
"7045",40,"numerals-telu1262-2-thousand-1","numerals-telu1262-2","Chan2019","thousand",1000,"vejji","vejji",NA,"false","1000","","","RE-GLOSSED","1000","1000","1000",1,1000,TRUE,"1000"
"7046",41,"numerals-telu1262-2-twothousand-1","numerals-telu1262-2","Chan2019","twothousand",2000,"reɳɖiveːlu","rendivelu",NA,"false","2⋅1000{?}","","","RE-GLOSSED","2⋅1000","2⋅1000","abs(2*1000)",1,2000,TRUE,"2⋅1000"
"7047",1,"numerals-khir1237-1-one-1","numerals-khir1237-1","Chan2019","one",1,"eɡo","ego",NA,"false","1{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>; alternatively, these forms could represent code-switching","","RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"7048",2,"numerals-khir1237-1-two-1","numerals-khir1237-1","Chan2019","two",2,"d̪uɡo","dugo",NA,"false","2{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"7049",3,"numerals-khir1237-1-three-1","numerals-khir1237-1","Chan2019","three",3,"t̪inɡo","tingo",NA,"false","3{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"7050",4,"numerals-khir1237-1-four-1","numerals-khir1237-1","Chan2019","four",4,"tʃarɡo","tsargo",NA,"false","4{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","4","4","4",1,4,TRUE,"4"
"7051",5,"numerals-khir1237-1-five-1","numerals-khir1237-1","Chan2019","five",5,"pãtʃɡo","patsgo",NA,"false","5{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"7052",6,"numerals-khir1237-1-six-1","numerals-khir1237-1","Chan2019","six",6,"tʃʰɑvɡo","tshavgo",NA,"false","6{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"7053",7,"numerals-khir1237-1-seven-1","numerals-khir1237-1","Chan2019","seven",7,"sat̪ɡo","satgo",NA,"false","7{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"7054",8,"numerals-khir1237-1-eight-1","numerals-khir1237-1","Chan2019","eight",8,"aʈʰɡo","athgo",NA,"false","8{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"7055",9,"numerals-khir1237-1-nine-1","numerals-khir1237-1","Chan2019","nine",9,"nɑʋɡo","navgo",NA,"false","9{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"7056",10,"numerals-khir1237-1-ten-1","numerals-khir1237-1","Chan2019","ten",10,"d̪ɑsɡo","dasgo",NA,"false","10{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","10","10","10",1,10,TRUE,"10"
"7057",11,"numerals-khir1237-1-eleven-1","numerals-khir1237-1","Chan2019","eleven",11,"eɡarɑɡo","egarago",NA,"false","1+10′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","1+10′","1+10","1+10",1,11,TRUE,"1+10"
"7058",12,"numerals-khir1237-1-twelve-1","numerals-khir1237-1","Chan2019","twelve",12,"barɑhɡo","barahgo",NA,"false","2′+10′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","2′+10′","2+10","2+10",1,12,TRUE,"2+10"
"7059",13,"numerals-khir1237-1-thirteen-1","numerals-khir1237-1","Chan2019","thirteen",13,"t̪erahɡo","terahgo",NA,"false","3+10′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","3+10′","3+10","3+10",1,13,TRUE,"3+10"
"7060",14,"numerals-khir1237-1-fourteen-1","numerals-khir1237-1","Chan2019","fourteen",14,"tʃɑʊd̪ɐɡo","tsaudago",NA,"false","4+10′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","4+10′","4+10","4+10",1,14,TRUE,"4+10"
"7061",15,"numerals-khir1237-1-fifteen-1","numerals-khir1237-1","Chan2019","fifteen",15,"pɑn̪d̪rahɡo","pandrahgo",NA,"false","5+10′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","5+10′","5+10","5+10",1,15,TRUE,"5+10"
"7062",16,"numerals-khir1237-1-sixteen-1","numerals-khir1237-1","Chan2019","sixteen",16,"solɑhɡo","solahgo",NA,"false","6′+10′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","6′+10′","6+10","6+10",1,16,TRUE,"6+10"
"7063",17,"numerals-khir1237-1-seventeen-1","numerals-khir1237-1","Chan2019","seventeen",17,"sɑt̪rahɡo","satrahgo",NA,"false","7+10′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","7+10′","7+10","7+10",1,17,TRUE,"7+10"
"7064",18,"numerals-khir1237-1-eighteen-1","numerals-khir1237-1","Chan2019","eighteen",18,"aʈʰarɑhɡo","atharahgo",NA,"false","8+10′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","8+10′","8+10","8+10",1,18,TRUE,"8+10"
"7065",19,"numerals-khir1237-1-nineteen-1","numerals-khir1237-1","Chan2019","nineteen",19,"unɑɪsɡo","unaisgo",NA,"false","[1]−{−}([2′]⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","19{CLF}","RE-GLOSSED","[1]−([2′]⋅10′′)","1−2⋅10","1-abs(abs(2*10))",1,19,TRUE,"1−(2⋅10)"
"7066",20,"numerals-khir1237-1-twenty-1","numerals-khir1237-1","Chan2019","twenty",20,"bisɡo","bisgo",NA,"false","2′⋅10′′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","2′⋅10′′","2⋅10","abs(2*10)",1,20,TRUE,"2⋅10"
"7067",21,"numerals-khir1237-1-twentyone-1","numerals-khir1237-1","Chan2019","twentyone",21,"ekɑɪsɡo","ekaisgo",NA,"false","1+([2′]⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","1+([2′]⋅10′′)","1+2⋅10","1+abs(abs(2*10))",1,21,TRUE,"1+(2⋅10)"
"7068",22,"numerals-khir1237-1-twentytwo-1","numerals-khir1237-1","Chan2019","twentytwo",22,"baɪsɡo","baisgo",NA,"false","2′+([2′]⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","2′+([2′]⋅10′′)","2+2⋅10","2+abs(abs(2*10))",1,22,TRUE,"2+(2⋅10)"
"7069",23,"numerals-khir1237-1-twentythree-1","numerals-khir1237-1","Chan2019","twentythree",23,"t̪eɪsɡo","teisgo",NA,"false","3+([2′]⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","3+([2′]⋅10′′)","3+2⋅10","3+abs(abs(2*10))",1,23,TRUE,"3+(2⋅10)"
"7070",24,"numerals-khir1237-1-twentyfour-1","numerals-khir1237-1","Chan2019","twentyfour",24,"tʃɑʊbisɡo","tsaubisgo",NA,"false","4+(2⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","4+(2⋅10′′)","4+2⋅10","4+abs(abs(2*10))",1,24,TRUE,"4+(2⋅10)"
"7071",25,"numerals-khir1237-1-twentyfive-1","numerals-khir1237-1","Chan2019","twentyfive",25,"pɑtʃisɡo","patsisgo",NA,"false","5+([2′]⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","5+([2′]⋅10′′)","5+2⋅10","5+abs(abs(2*10))",1,25,TRUE,"5+(2⋅10)"
"7072",26,"numerals-khir1237-1-twentysix-1","numerals-khir1237-1","Chan2019","twentysix",26,"tʃɑbbisɡo","tsabbisgo",NA,"false","6+(2⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","6+(2⋅10′′)","6+2⋅10","6+abs(abs(2*10))",1,26,TRUE,"6+(2⋅10)"
"7073",27,"numerals-khir1237-1-twentyseven-1","numerals-khir1237-1","Chan2019","twentyseven",27,"sɑt̪aɪsɡo","sataisgo",NA,"false","7+([2′]⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","7+([2′]⋅10′′)","7+2⋅10","7+abs(abs(2*10))",1,27,TRUE,"7+(2⋅10)"
"7074",28,"numerals-khir1237-1-twentyeight-1","numerals-khir1237-1","Chan2019","twentyeight",28,"aʈʰaɪsɡo","athaisgo",NA,"false","8+([2′]⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","8+([2′]⋅10′′)","8+2⋅10","8+abs(abs(2*10))",1,28,TRUE,"8+(2⋅10)"
"7075",29,"numerals-khir1237-1-twentynine-1","numerals-khir1237-1","Chan2019","twentynine",29,"unt̪isɡo","untisgo",NA,"false","[1]−{−}(3⋅10′′){CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","29{CLF}","RE-GLOSSED","[1]−(3⋅10′′)","1−3⋅10","1-abs(abs(3*10))",1,29,TRUE,"1−(3⋅10)"
"7076",30,"numerals-khir1237-1-thirty-1","numerals-khir1237-1","Chan2019","thirty",30,"t̪isɡo","tisgo",NA,"false","3⋅10′′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","3⋅10′′","3⋅10","abs(3*10)",1,30,TRUE,"3⋅10"
"7077",31,"numerals-khir1237-1-forty-1","numerals-khir1237-1","Chan2019","forty",40,"tʃalɪsɡo","tsalisgo",NA,"false","4⋅10′′{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","4⋅10′′","4⋅10","abs(4*10)",1,40,TRUE,"4⋅10"
"7078",32,"numerals-khir1237-1-fifty-1","numerals-khir1237-1","Chan2019","fifty",50,"pãtʃasɡo","patsasgo",NA,"false","50{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>; historically 5⋅10","5⋅10′′′{CLF}","RE-GLOSSED","50","50","50",1,50,TRUE,"50"
"7079",33,"numerals-khir1237-1-sixty-1","numerals-khir1237-1","Chan2019","sixty",60,"saʈʰɡo","sathgo",NA,"false","60{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>; historically 6⋅10","6′⋅10′′′′{CLF}","RE-GLOSSED","60","60","60",1,60,TRUE,"60"
"7080",34,"numerals-khir1237-1-seventy-1","numerals-khir1237-1","Chan2019","seventy",70,"sɑt̪rahɡo","satrahgo",NA,"false","70{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>; historically 7⋅10","7⋅10′′′′′{CLF}","RE-GLOSSED","70","70","70",1,70,TRUE,"70"
"7081",35,"numerals-khir1237-1-eighty-1","numerals-khir1237-1","Chan2019","eighty",80,"asiɡo","asigo",NA,"false","80{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>; historically 8⋅10","8⋅10′′′′′′{CLF}","RE-GLOSSED","80","80","80",1,80,TRUE,"80"
"7082",36,"numerals-khir1237-1-ninety-1","numerals-khir1237-1","Chan2019","ninety",90,"nɑbeɡo","nabego",NA,"false","90{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>; historically 9⋅10","9⋅10′′′′′′′{CLF}","RE-GLOSSED","90","90","90",1,90,TRUE,"90"
"7083",37,"numerals-khir1237-1-hundred-1","numerals-khir1237-1","Chan2019","hundred",100,"sɑʋɡo","savgo",NA,"false","100{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","100","100","100",1,100,TRUE,"100"
"7084",38,"numerals-khir1237-1-twohundred-1","numerals-khir1237-1","Chan2019","twohundred",200,"d̪usɑʋɡo","dusavgo",NA,"false","2[⋅]100{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","2[⋅]100","2⋅100","abs(2*100)",1,200,TRUE,"2⋅100"
"7085",39,"numerals-khir1237-1-fourhundred-1","numerals-khir1237-1","Chan2019","fourhundred",400,"tʃarsɑʋɡo","tsarsavgo",NA,"false","4[⋅]100{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","4[⋅]100","4⋅100","abs(4*100)",1,400,TRUE,"4⋅100"
"7086",40,"numerals-khir1237-1-eighthundred-1","numerals-khir1237-1","Chan2019","eighthundred",800,"aʈʰsɑʋɡo","athsavgo",NA,"false","8[⋅]100{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>","","RE-GLOSSED","8[⋅]100","8⋅100","abs(8*100)",1,800,TRUE,"8⋅100"
"7087",41,"numerals-khir1237-1-thousand-1","numerals-khir1237-1","Chan2019","thousand",1000,"hɑdʒarɑɡo","hadzarago",NA,"false","1000{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>; <hɑdʒarɑ> ‘thousand’ ultimately from Iranian","","RE-GLOSSED","1000","1000","1000",1,1000,TRUE,"1000"
"7088",42,"numerals-khir1237-1-twothousand-1","numerals-khir1237-1","Chan2019","twothousand",2000,"d̪uhɑdʒarɑɡo","duhadzarago",NA,"false","2[⋅]1000{CLF}","borrowed from Indo-Aryan (Indo-European) but with a native classifier <-go>; <hɑdʒarɑ> ‘thousand’ ultimately from Iranian","","RE-GLOSSED","2[⋅]1000","2⋅1000","abs(2*1000)",1,2000,TRUE,"2⋅1000"
"7089",1,"numerals-tosk1239-1-one-1","numerals-tosk1239-1","Chan2019","one",1,"ɲə","na","","false","1","",NA,"RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"7090",2,"numerals-tosk1239-1-two-1","numerals-tosk1239-1","Chan2019","two",2,"dy","dy","","false","2","",NA,"RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"7091",3,"numerals-tosk1239-1-three-1","numerals-tosk1239-1","Chan2019","three",3,"tɾɛ","tre","(m)","false","3","masculine",NA,"RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"7092",4,"numerals-tosk1239-1-three-2","numerals-tosk1239-1","Chan2019","three",3,"tɾi","tri","(f)","false","3","feminine",NA,"RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"7093",5,"numerals-tosk1239-1-four-1","numerals-tosk1239-1","Chan2019","four",4,"ˈkatəɾ","katar","","false","4","",NA,"RE-GLOSSED","4","4","4",1,4,TRUE,"4"
"7094",6,"numerals-tosk1239-1-five-1","numerals-tosk1239-1","Chan2019","five",5,"ˈpɛsə","pesa","","false","5","",NA,"RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"7095",7,"numerals-tosk1239-1-five-2","numerals-tosk1239-1","Chan2019","five",5,"pɛːs","pes","","false","5","",NA,"RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"7096",8,"numerals-tosk1239-1-six-1","numerals-tosk1239-1","Chan2019","six",6,"ˈɟaʃtə","jasta","","false","6","",NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"7097",9,"numerals-tosk1239-1-six-2","numerals-tosk1239-1","Chan2019","six",6,"ɟaːʃt","jast","","false","6","",NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"7098",10,"numerals-tosk1239-1-seven-1","numerals-tosk1239-1","Chan2019","seven",7,"ˈʃtatə","stata","","false","7","",NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"7099",11,"numerals-tosk1239-1-seven-2","numerals-tosk1239-1","Chan2019","seven",7,"ʃtaːt","stat","","false","7","",NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"7100",12,"numerals-tosk1239-1-eight-1","numerals-tosk1239-1","Chan2019","eight",8,"ˈtɛtə","teta","","false","8","",NA,"RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"7101",13,"numerals-tosk1239-1-eight-2","numerals-tosk1239-1","Chan2019","eight",8,"tɛːt","tet","","false","8","",NA,"RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"7102",14,"numerals-tosk1239-1-nine-1","numerals-tosk1239-1","Chan2019","nine",9,"ˈnəntə","nanta","","false","9","",NA,"RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"7103",15,"numerals-tosk1239-1-nine-2","numerals-tosk1239-1","Chan2019","nine",9,"ˈnəːnt","nant","","false","9","",NA,"RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"7104",16,"numerals-tosk1239-1-ten-1","numerals-tosk1239-1","Chan2019","ten",10,"ˈðjɛtə","djeta","","false","10","",NA,"RE-GLOSSED","10","10","10",1,10,TRUE,"10"
"7105",17,"numerals-tosk1239-1-ten-2","numerals-tosk1239-1","Chan2019","ten",10,"ðjɛːt","djet","","false","10","",NA,"RE-GLOSSED","10","10","10",1,10,TRUE,"10"
"7106",18,"numerals-tosk1239-1-eleven-1","numerals-tosk1239-1","Chan2019","eleven",11,"ˌɲəmbəˈðjɛːtə","nambadjeta","","false","1+{in}10","",NA,"RE-GLOSSED","1+10","1+10","1+10",1,11,TRUE,"1+10"
"7107",19,"numerals-tosk1239-1-eleven-2","numerals-tosk1239-1","Chan2019","eleven",11,"ˌɲəmbəˈðjɛːt","nambadjet","","false","1+{in}10","",NA,"RE-GLOSSED","1+10","1+10","1+10",1,11,TRUE,"1+10"
"7108",20,"numerals-tosk1239-1-twelve-1","numerals-tosk1239-1","Chan2019","twelve",12,"ˌdymbəˈðjɛːtə","dymbadjeta","","false","2+{in}10","",NA,"RE-GLOSSED","2+10","2+10","2+10",1,12,TRUE,"2+10"
"7109",21,"numerals-tosk1239-1-twelve-2","numerals-tosk1239-1","Chan2019","twelve",12,"ˌdymbəˈðjɛːt","dymbadjet","","false","2+{in}10","",NA,"RE-GLOSSED","2+10","2+10","2+10",1,12,TRUE,"2+10"
"7110",22,"numerals-tosk1239-1-thirteen-1","numerals-tosk1239-1","Chan2019","thirteen",13,"ˌtɾɛmbəˈðjɛːtə","trembadjeta","","false","3+{in}10","",NA,"RE-GLOSSED","3+10","3+10","3+10",1,13,TRUE,"3+10"
"7111",23,"numerals-tosk1239-1-thirteen-2","numerals-tosk1239-1","Chan2019","thirteen",13,"ˌtɾɛmbəˈðjɛːt","trembadjet","","false","3+{in}10","",NA,"RE-GLOSSED","3+10","3+10","3+10",1,13,TRUE,"3+10"
"7112",24,"numerals-tosk1239-1-fourteen-1","numerals-tosk1239-1","Chan2019","fourteen",14,"ˌkatəɾmbəˈðjɛːtə","katarmbadjeta","","false","4+{in}10","",NA,"RE-GLOSSED","4+10","4+10","4+10",1,14,TRUE,"4+10"
"7113",25,"numerals-tosk1239-1-fourteen-2","numerals-tosk1239-1","Chan2019","fourteen",14,"ˌkatəɾmbəˈðjɛːt","katarmbadjet","","false","4+{in}10","",NA,"RE-GLOSSED","4+10","4+10","4+10",1,14,TRUE,"4+10"
"7114",26,"numerals-tosk1239-1-fifteen-1","numerals-tosk1239-1","Chan2019","fifteen",15,"pɛsəmbəˈðjɛːtə","pesambadjeta","","false","5+{in}10","",NA,"RE-GLOSSED","5+10","5+10","5+10",1,15,TRUE,"5+10"
"7115",27,"numerals-tosk1239-1-fifteen-2","numerals-tosk1239-1","Chan2019","fifteen",15,"pɛsəmbəˈðjɛːt","pesambadjet","","false","5+{in}10","",NA,"RE-GLOSSED","5+10","5+10","5+10",1,15,TRUE,"5+10"
"7116",28,"numerals-tosk1239-1-sixteen-1","numerals-tosk1239-1","Chan2019","sixteen",16,"ˌɟaʃtəmbəˈðjɛːtə","jastambadjeta","","false","6+{in}10","",NA,"RE-GLOSSED","6+10","6+10","6+10",1,16,TRUE,"6+10"
"7117",29,"numerals-tosk1239-1-sixteen-2","numerals-tosk1239-1","Chan2019","sixteen",16,"ˌɟaʃtəmbəˈðjɛːt","jastambadjet","","false","6+{in}10","",NA,"RE-GLOSSED","6+10","6+10","6+10",1,16,TRUE,"6+10"
"7118",30,"numerals-tosk1239-1-seventeen-1","numerals-tosk1239-1","Chan2019","seventeen",17,"ˌʃtatəmbəˈðjɛːtə","statambadjeta","","false","7+{in}10","",NA,"RE-GLOSSED","7+10","7+10","7+10",1,17,TRUE,"7+10"
"7119",31,"numerals-tosk1239-1-seventeen-2","numerals-tosk1239-1","Chan2019","seventeen",17,"ˌʃtatəmbəˈðjɛːt","statambadjet","","false","7+{in}10","",NA,"RE-GLOSSED","7+10","7+10","7+10",1,17,TRUE,"7+10"
"7120",32,"numerals-tosk1239-1-eighteen-1","numerals-tosk1239-1","Chan2019","eighteen",18,"ˌtɛtəmbəˈðjɛːtə","tetambadjeta","","false","8+{in}10","",NA,"RE-GLOSSED","8+10","8+10","8+10",1,18,TRUE,"8+10"
"7121",33,"numerals-tosk1239-1-eighteen-2","numerals-tosk1239-1","Chan2019","eighteen",18,"ˌtɛtəmbəˈðjɛːt","tetambadjet","","false","8+{in}10","",NA,"RE-GLOSSED","8+10","8+10","8+10",1,18,TRUE,"8+10"
"7122",34,"numerals-tosk1239-1-nineteen-1","numerals-tosk1239-1","Chan2019","nineteen",19,"ˌnəntəmbəˈðjɛːtə","nantambadjeta","","false","9+{in}10","",NA,"RE-GLOSSED","9+10","9+10","9+10",1,19,TRUE,"9+10"
"7123",35,"numerals-tosk1239-1-nineteen-2","numerals-tosk1239-1","Chan2019","nineteen",19,"ˌnəntəmbəˈðjɛːt","nantambadjet","","false","9+{in}10","",NA,"RE-GLOSSED","9+10","9+10","9+10",1,19,TRUE,"9+10"
"7124",36,"numerals-tosk1239-1-twenty-1","numerals-tosk1239-1","Chan2019","twenty",20,"ɲəˈzɛt","nazet","","false","1[⋅]20","20 is historically 2⋅10",NA,"RE-GLOSSED","1[⋅]20","20","abs(1*20)",1,20,TRUE,"20"
