"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc"
"6365",36,"numerals-ural1274-1-threehundred-1","numerals-ural1274-1","Chan2019","threehundred",300,"munːnuːrɯ","munnurw","","false","3⋅100","","","RE-GLOSSED","3⋅100","3⋅100","abs(3*100)"
"6366",37,"numerals-ural1274-1-threehundredandfour-1","numerals-ural1274-1","Chan2019","threehundredandfour",304,"munnuːttinaːlɯ","munnuttinalw","","false","(3⋅100)+{+}4","","","RE-GLOSSED","(3⋅100)+4","(3⋅100)+4","abs(abs(3*100))+4"
"6367",38,"numerals-ural1274-1-thousand-1","numerals-ural1274-1","Chan2019","thousand",1000,"a:yira","ayira","","false","1000","apparently borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED","1000","1000","1000"
"6368",39,"numerals-ural1274-1-onethousandandtwentyseven-1","numerals-ural1274-1","Chan2019","onethousandandtwentyseven",1027,"aːyiratti iruvattiëːɭɯ","ayirattiiruvattielw","","false","1000+{+}(2′⋅10)+7","<a:yira> ‘thousand’ apparently borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED","1000+(2′⋅10)+7","1000+(2⋅10)+7","1000+abs(abs(2*10))+7"
"6369",40,"numerals-ural1274-1-twothousand-1","numerals-ural1274-1","Chan2019","twothousand",2000,"reɳɖaːyira","rendayira","","false","2⋅1000","<a:yira> ‘thousand’ apparently borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED","2⋅1000","2⋅1000","abs(2*1000)"
"6370",1,"numerals-toda1252-1-one-1","numerals-toda1252-1","Chan2019","one",1,"wɨd̠","wid",NA,"false","1","","","RE-GLOSSED","1","1","1"
"6371",2,"numerals-toda1252-1-two-1","numerals-toda1252-1","Chan2019","two",2,"eːɖ","ed",NA,"false","2","","","RE-GLOSSED","2","2","2"
"6372",3,"numerals-toda1252-1-three-1","numerals-toda1252-1","Chan2019","three",3,"muːd̠","mud",NA,"false","3","","","RE-GLOSSED","3","3","3"
"6373",4,"numerals-toda1252-1-four-1","numerals-toda1252-1","Chan2019","four",4,"noːnɡ","nong",NA,"false","4","","","RE-GLOSSED","4","4","4"
"6374",5,"numerals-toda1252-1-five-1","numerals-toda1252-1","Chan2019","five",5,"üd͡z","udz",NA,"false","5","","","RE-GLOSSED","5","5","5"
"6375",6,"numerals-toda1252-1-six-1","numerals-toda1252-1","Chan2019","six",6,"oːr̠","or",NA,"false","6","","","RE-GLOSSED","6","6","6"
"6376",7,"numerals-toda1252-1-seven-1","numerals-toda1252-1","Chan2019","seven",7,"öw","ow",NA,"false","7","","","RE-GLOSSED","7","7","7"
"6377",8,"numerals-toda1252-1-eight-1","numerals-toda1252-1","Chan2019","eight",8,"öʈ","ot",NA,"false","8","","","RE-GLOSSED","8","8","8"
"6378",9,"numerals-toda1252-1-nine-1","numerals-toda1252-1","Chan2019","nine",9,"wɨmboθ","wimboth",NA,"false","1−10","","9","RE-GLOSSED","1−10","1−10","abs(1-10)"
"6379",10,"numerals-toda1252-1-ten-1","numerals-toda1252-1","Chan2019","ten",10,"pot","pot",NA,"false","10","","","RE-GLOSSED","10","10","10"
"6380",11,"numerals-toda1252-1-eleven-1","numerals-toda1252-1","Chan2019","eleven",11,"pon wɨd̠","ponwid",NA,"false","10[+]1","","","RE-GLOSSED","10[+]1","10+1","10+1"
"6381",12,"numerals-toda1252-1-twelve-1","numerals-toda1252-1","Chan2019","twelve",12,"pon eːɖ","poned",NA,"false","10[+]2","","","RE-GLOSSED","10[+]2","10+2","10+2"
"6382",13,"numerals-toda1252-1-thirteen-1","numerals-toda1252-1","Chan2019","thirteen",13,"pon muːd̠","ponmud",NA,"false","10[+]3","","","RE-GLOSSED","10[+]3","10+3","10+3"
"6383",14,"numerals-toda1252-1-fourteen-1","numerals-toda1252-1","Chan2019","fourteen",14,"paːnɡ","pang",NA,"false","10+4","","","RE-GLOSSED","10+4","10+4","10+4"
"6384",15,"numerals-toda1252-1-fifteen-1","numerals-toda1252-1","Chan2019","fifteen",15,"puˑj","puj",NA,"false","10+5","","15","RE-GLOSSED","10+5","10+5","10+5"
"6385",16,"numerals-toda1252-1-sixteen-1","numerals-toda1252-1","Chan2019","sixteen",16,"paːr̠","par",NA,"false","10+6","","","RE-GLOSSED","10+6","10+6","10+6"
"6386",17,"numerals-toda1252-1-seventeen-1","numerals-toda1252-1","Chan2019","seventeen",17,"pɨːɨ","pii",NA,"false","10+7","","","RE-GLOSSED","10+7","10+7","10+7"
"6387",18,"numerals-toda1252-1-eighteen-1","numerals-toda1252-1","Chan2019","eighteen",18,"puːʈ","put",NA,"false","10+8","","","RE-GLOSSED","10+8","10+8","10+8"
"6388",19,"numerals-toda1252-1-nineteen-1","numerals-toda1252-1","Chan2019","nineteen",19,"puːnboθ","punboth",NA,"false","10+(1−10)","","10+9","RE-GLOSSED","10+(1−10)","10+(1−10)","10+abs(abs(1-10))"
"6389",20,"numerals-toda1252-1-twenty-1","numerals-toda1252-1","Chan2019","twenty",20,"ɨffoθ","iffoth",NA,"false","2′⋅10","","","RE-GLOSSED","2′⋅10","2⋅10","abs(2*10)"
"6390",21,"numerals-toda1252-1-twentyone-1","numerals-toda1252-1","Chan2019","twentyone",21,"ɨffotwɨd̠","iffotwid",NA,"false","(2′⋅10)+1","","","RE-GLOSSED","(2′⋅10)+1","(2⋅10)+1","abs(abs(2*10))+1"
"6391",22,"numerals-toda1252-1-twentytwo-1","numerals-toda1252-1","Chan2019","twentytwo",22,"ɨffoteːɖ","iffoted",NA,"false","(2′⋅10)+2","","","RE-GLOSSED","(2′⋅10)+2","(2⋅10)+2","abs(abs(2*10))+2"
"6392",23,"numerals-toda1252-1-twentythree-1","numerals-toda1252-1","Chan2019","twentythree",23,"ɨffotmuːd̠","iffotmud",NA,"false","(2′⋅10)+3","","","RE-GLOSSED","(2′⋅10)+3","(2⋅10)+3","abs(abs(2*10))+3"
"6393",24,"numerals-toda1252-1-twentyfour-1","numerals-toda1252-1","Chan2019","twentyfour",24,"ɨffotnoːnɡ","iffotnong",NA,"false","(2′⋅10)+4","","","RE-GLOSSED","(2′⋅10)+4","(2⋅10)+4","abs(abs(2*10))+4"
"6394",25,"numerals-toda1252-1-twentyfive-1","numerals-toda1252-1","Chan2019","twentyfive",25,"ɨffotüd͡z","iffotudz",NA,"false","(2′⋅10)+5","","","RE-GLOSSED","(2′⋅10)+5","(2⋅10)+5","abs(abs(2*10))+5"
"6395",26,"numerals-toda1252-1-twentysix-1","numerals-toda1252-1","Chan2019","twentysix",26,"ɨffotoːr̠","iffotor",NA,"false","(2′⋅10)+6","","","RE-GLOSSED","(2′⋅10)+6","(2⋅10)+6","abs(abs(2*10))+6"
"6396",27,"numerals-toda1252-1-twentyseven-1","numerals-toda1252-1","Chan2019","twentyseven",27,"ɨffotöw","iffotow",NA,"false","(2′⋅10)+7","","","RE-GLOSSED","(2′⋅10)+7","(2⋅10)+7","abs(abs(2*10))+7"
"6397",28,"numerals-toda1252-1-twentyeight-1","numerals-toda1252-1","Chan2019","twentyeight",28,"ɨffotöʈ","iffotot",NA,"false","(2′⋅10)+8","","","RE-GLOSSED","(2′⋅10)+8","(2⋅10)+8","abs(abs(2*10))+8"
"6398",29,"numerals-toda1252-1-twentynine-1","numerals-toda1252-1","Chan2019","twentynine",29,"ɨffotunboθ","iffotunboth",NA,"false","(2′⋅10)+(1−10)","","(2′⋅10)+9","RE-GLOSSED","(2′⋅10)+(1−10)","(2⋅10)+(1−10)","abs(abs(2*10))+abs(abs(1-10))"
"6399",30,"numerals-toda1252-1-thirty-1","numerals-toda1252-1","Chan2019","thirty",30,"muppoθ","muppoth",NA,"false","3⋅10","","","RE-GLOSSED","3⋅10","3⋅10","abs(3*10)"
"6400",31,"numerals-toda1252-1-forty-1","numerals-toda1252-1","Chan2019","forty",40,"nalpoθ","nalpoth",NA,"false","4⋅10","","","RE-GLOSSED","4⋅10","4⋅10","abs(4*10)"
"6401",32,"numerals-toda1252-1-fifty-1","numerals-toda1252-1","Chan2019","fifty",50,"ebboθ","ebboth",NA,"false","5⋅10","","","RE-GLOSSED","5⋅10","5⋅10","abs(5*10)"
"6402",33,"numerals-toda1252-1-sixty-1","numerals-toda1252-1","Chan2019","sixty",60,"ar̠r̠oθ","arroth",NA,"false","6⋅10","","","RE-GLOSSED","6⋅10","6⋅10","abs(6*10)"
"6403",34,"numerals-toda1252-1-seventy-1","numerals-toda1252-1","Chan2019","seventy",70,"öwwoθ","owwoth",NA,"false","7⋅10","","","RE-GLOSSED","7⋅10","7⋅10","abs(7*10)"
"6404",35,"numerals-toda1252-1-eighty-1","numerals-toda1252-1","Chan2019","eighty",80,"öʈwoθ","otwoth",NA,"false","8⋅10","","","RE-GLOSSED","8⋅10","8⋅10","abs(8*10)"
"6405",36,"numerals-toda1252-1-ninety-1","numerals-toda1252-1","Chan2019","ninety",90,"eːɳboθ","enboth",NA,"false","9⋅10","","","RE-GLOSSED","9⋅10","9⋅10","abs(9*10)"
"6406",37,"numerals-toda1252-1-hundred-1","numerals-toda1252-1","Chan2019","hundred",100,"nuːr̠","nur",NA,"false","100","","","RE-GLOSSED","100","100","100"
"6407",38,"numerals-toda1252-1-twohundred-1","numerals-toda1252-1","Chan2019","twohundred",200,"ɨnnuːr̠","innur",NA,"false","2′⋅100","","","RE-GLOSSED","2′⋅100","2⋅100","abs(2*100)"
"6408",39,"numerals-toda1252-1-thousand-1","numerals-toda1252-1","Chan2019","thousand",1000,"soːfeɾ","sofer",NA,"false","1000","borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED","1000","1000","1000"
"6409",40,"numerals-toda1252-1-twothousand-1","numerals-toda1252-1","Chan2019","twothousand",2000,"eːɖ soːfeɾ","edsofer",NA,"false","2⋅1000","<soːfeɾ> ‘thousand’ borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED","2⋅1000","2⋅1000","abs(2*1000)"
"6410",1,"sand-Gondi-one-1","sand-Gondi","Mamta2023","one",1,"onɖu","ondu",NA,NA,"1","","","RE-GLOSSED","1","1","1"
"6411",2,"sand-Gondi-two-1","sand-Gondi","Mamta2023","two",2,"rənɖu","randu",NA,NA,"2","","","RE-GLOSSED","2","2","2"
"6412",3,"sand-Gondi-three-1","sand-Gondi","Mamta2023","three",3,"munɖ","mund",NA,NA,"3","","","RE-GLOSSED","3","3","3"
"6413",4,"sand-Gondi-four-1","sand-Gondi","Mamta2023","four",4,"nɑlu","nalu",NA,NA,"4","","","RE-GLOSSED","4","4","4"
"6414",5,"sand-Gondi-five-1","sand-Gondi","Mamta2023","five",5,"həĩŋɡe","haingge",NA,NA,"5","","","RE-GLOSSED","5","5","5"
"6415",6,"sand-Gondi-five-2","sand-Gondi","Mamta2023","five",5,"ẽŋ","eng",NA,NA,"5","","","RE-GLOSSED","5","5","5"
"6416",7,"sand-Gondi-six-1","sand-Gondi","Mamta2023","six",6,"ɑru","aru",NA,NA,"6","","","RE-GLOSSED","6","6","6"
"6417",8,"sand-Gondi-seven-1","sand-Gondi","Mamta2023","seven",7,"sɑtu","satu",NA,NA,"7","borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED","7","7","7"
"6418",9,"sand-Gondi-eight-1","sand-Gondi","Mamta2023","eight",8,"ɑʈu","atu",NA,NA,"8","borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED","8","8","8"
"6419",10,"sand-Gondi-nine-1","sand-Gondi","Mamta2023","nine",9,"nəʋu","navu",NA,NA,"9","borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED","9","9","9"
"6420",11,"sand-Gondi-ten-1","sand-Gondi","Mamta2023","ten",10,"dəsu","dasu",NA,NA,"10","borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED","10","10","10"
"6421",12,"sand-Gondi-eleven-1","sand-Gondi","Mamta2023","eleven",11,"iɡɑrɑ","igara",NA,NA,"11","borrowed from Indo-Aryan (Indo-European)","1′+10′","RE-GLOSSED","11","11","11"
"6422",13,"sand-Gondi-twelve-1","sand-Gondi","Mamta2023","twelve",12,"bɑrɑ","bara",NA,NA,"12","borrowed from Indo-Aryan (Indo-European)","2′+10′","RE-GLOSSED","12","12","12"
"6423",14,"sand-Gondi-thirteen-1","sand-Gondi","Mamta2023","thirteen",13,"terɑ","tera",NA,NA,"13","borrowed from Indo-Aryan (Indo-European)","3′+10′","RE-GLOSSED","13","13","13"
"6424",15,"sand-Gondi-fourteen-1","sand-Gondi","Mamta2023","fourteen",14,"cəʋdɑ","cavda",NA,NA,"14","borrowed from Indo-Aryan (Indo-European)","4′+10′","RE-GLOSSED","14","14","14"
"6425",16,"sand-Gondi-fifteen-1","sand-Gondi","Mamta2023","fifteen",15,"pəndr","pandr",NA,NA,"15","borrowed from Indo-Aryan (Indo-European)","5′+10′","RE-GLOSSED","15","15","15"
"6426",17,"sand-Gondi-sixteen-1","sand-Gondi","Mamta2023","sixteen",16,"sorɑ","sora",NA,NA,"16","borrowed from Indo-Aryan (Indo-European)","6′+10′","RE-GLOSSED","16","16","16"
"6427",18,"sand-Gondi-seventeen-1","sand-Gondi","Mamta2023","seventeen",17,"sətr","satr",NA,NA,"17","borrowed from Indo-Aryan (Indo-European)","7+10′","RE-GLOSSED","17","17","17"
"6428",19,"sand-Gondi-eighteen-1","sand-Gondi","Mamta2023","eighteen",18,"əʈrɑ","atra",NA,NA,"18","borrowed from Indo-Aryan (Indo-European)","8+10′","RE-GLOSSED","18","18","18"
"6429",20,"sand-Gondi-nineteen-1","sand-Gondi","Mamta2023","nineteen",19,"onis","onis",NA,NA,"19","borrowed from Indo-Aryan (Indo-European); historically subtractive","","RE-GLOSSED","19","19","19"
"6430",21,"sand-Gondi-twenty-1","sand-Gondi","Mamta2023","twenty",20,"bis","bis",NA,NA,"20","borrowed from Indo-Aryan (Indo-European)","","RE-GLOSSED","20","20","20"
"6431",22,"sand-Gondi-twenty-2","sand-Gondi","Mamta2023","twenty",20,"koɽi","kori",NA,NA,"20′","borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","20′","20","20"
"6432",23,"sand-Gondi-twentyone-1","sand-Gondi","Mamta2023","twentyone",21,"koɽek","korek",NA,NA,"?","This form appears to be used as 20 in the numerals 22 through 39; it is borrowed from Indo-Aryan (Indo-European) (historically 20⋅1?), with <koɽ-> ‘twenty’ ultimately from Austroasiatic (?).","20′+1′","RE-GLOSSED","?","?",NA
"6433",24,"sand-Gondi-twentyone-2","sand-Gondi","Mamta2023","twentyone",21,"koɽi onɖ","koriond",NA,NA,"20′[+]1","<koɽi> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]1","20+1","20+1"
"6434",25,"sand-Gondi-twentytwo-1","sand-Gondi","Mamta2023","twentytwo",22,"koɽek rənɖ","korekrand",NA,NA,"20′[+]2","<koɽek> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]2","20+2","20+2"
"6435",26,"sand-Gondi-twentythree-1","sand-Gondi","Mamta2023","twentythree",23,"koɽek munɖ","korekmund",NA,NA,"20′[+]3","<koɽek> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]3","20+3","20+3"
"6436",27,"sand-Gondi-twentyfour-1","sand-Gondi","Mamta2023","twentyfour",24,"koɽek nɑlu","koreknalu",NA,NA,"20′[+]4","<koɽek> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]4","20+4","20+4"
"6437",28,"sand-Gondi-twentyfive-1","sand-Gondi","Mamta2023","twentyfive",25,"koɽek həĩŋɡe","korekhaingge",NA,NA,"20′[+]5","<koɽek> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]5","20+5","20+5"
"6438",29,"sand-Gondi-twentysix-1","sand-Gondi","Mamta2023","twentysix",26,"koɽek ɑru","korekaru",NA,NA,"20′[+]6","<koɽek> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]6","20+6","20+6"
"6439",30,"sand-Gondi-twentyseven-1","sand-Gondi","Mamta2023","twentyseven",27,"koɽek sɑtu","koreksatu",NA,NA,"20′[+]7","<koɽek> ‘twenty’ and <sɑtu> ‘seven’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]7","20+7","20+7"
"6440",31,"sand-Gondi-twentyeight-1","sand-Gondi","Mamta2023","twentyeight",28,"koɽek ɑʈu","korekatu",NA,NA,"20′[+]8","<koɽek> ‘twenty’ and <ɑʈu> ‘eight’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]8","20+8","20+8"
"6441",32,"sand-Gondi-twentynine-1","sand-Gondi","Mamta2023","twentynine",29,"koɽek nəʋu","koreknavu",NA,NA,"20′[+]9","<koɽek> ‘twenty’ and <nəʋu> ‘nine’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]9","20+9","20+9"
"6442",33,"sand-Gondi-thirty-1","sand-Gondi","Mamta2023","thirty",30,"koɽek dəsu","korekdasu",NA,NA,"20′[+]10","<koɽek> ‘twenty’ and <dəsu> ‘ten’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]10","20+10","20+10"
"6443",34,"sand-Gondi-thirtyone-1","sand-Gondi","Mamta2023","thirtyone",31,"koɽek iɡɑrɑ","korekigara",NA,NA,"20′[+]11","<koɽek> ‘twenty’ and <iɡɑrɑ> ‘eleven’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","20′[+]1′+10′","RE-GLOSSED","20′[+]11","20+11","20+11"
"6444",35,"sand-Gondi-thirtytwo-1","sand-Gondi","Mamta2023","thirtytwo",32,"koɽek bɑrɑ","korekbara",NA,NA,"20′[+]12","<koɽek> ‘twenty’ and <bɑrɑ> ‘twelve’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","20′[+]2′+10′","RE-GLOSSED","20′[+]12","20+12","20+12"
"6445",36,"sand-Gondi-thirtythree-1","sand-Gondi","Mamta2023","thirtythree",33,"koɽek terɑ","korektera",NA,NA,"20′[+]13","<koɽek> ‘twenty’ and <terɑ> ‘thirteen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","20′[+]3′+10′","RE-GLOSSED","20′[+]13","20+13","20+13"
"6446",37,"sand-Gondi-thirtyfour-1","sand-Gondi","Mamta2023","thirtyfour",34,"koɽek cəʋdɑ","korekcavda",NA,NA,"20′[+]14","<koɽek> ‘twenty’ and <cəʋdɑ> ‘fourteen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","20′[+]4′+10′","RE-GLOSSED","20′[+]14","20+14","20+14"
"6447",38,"sand-Gondi-thirtyfive-1","sand-Gondi","Mamta2023","thirtyfive",35,"koɽek pəndr","korekpandr",NA,NA,"20′[+]15","<koɽek> ‘twenty’ and <pəndr> ‘fifteen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","20′[+]5′+10′","RE-GLOSSED","20′[+]15","20+15","20+15"
"6448",39,"sand-Gondi-thirtysix-1","sand-Gondi","Mamta2023","thirtysix",36,"koɽek solɑ","koreksola",NA,NA,"20′[+]16","<koɽek> ‘twenty’ and <solɑ> ‘sixteen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","20′[+]6′+10′","RE-GLOSSED","20′[+]16","20+16","20+16"
"6449",40,"sand-Gondi-thirtyseven-1","sand-Gondi","Mamta2023","thirtyseven",37,"koɽek sətr","koreksatr",NA,NA,"20′[+]17","<koɽek> ‘twenty’ and <sətr> ‘seventeen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","20′[+]7+10′","RE-GLOSSED","20′[+]17","20+17","20+17"
"6450",41,"sand-Gondi-thirtyeight-1","sand-Gondi","Mamta2023","thirtyeight",38,"koɽek əʈrɑ","korekatra",NA,NA,"20′[+]18","<koɽek> ‘twenty’ and <əʈrɑ> ‘eighteen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","20′[+]8+10′","RE-GLOSSED","20′[+]18","20+18","20+18"
"6451",42,"sand-Gondi-thirtynine-1","sand-Gondi","Mamta2023","thirtynine",39,"koɽek onis","korekonis",NA,NA,"20′[+]19","<koɽek> ‘twenty’ and <onis> ‘nineteen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","","RE-GLOSSED","20′[+]19","20+19","20+19"
"6452",43,"sand-Gondi-forty-1","sand-Gondi","Mamta2023","forty",40,"renɖ koɽi","rendkori",NA,NA,"2[⋅]20′","<koɽi> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","2[⋅]20′","2⋅20","abs(2*20)"
"6453",44,"sand-Gondi-fortyone-1","sand-Gondi","Mamta2023","fortyone",41,"renɖ koɽi onɖ","rendkoriond",NA,NA,"(2[⋅]20′)[+]1","<koɽi> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","(2[⋅]20′)[+]1","(2⋅20)+1","abs(abs(2*20))+1"
"6454",45,"sand-Gondi-fortytwo-1","sand-Gondi","Mamta2023","fortytwo",42,"renɖ koɽi rənɖ","rendkorirand",NA,NA,"(2[⋅]20′)[+]2","<koɽi> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","(2[⋅]20′)[+]2","(2⋅20)+2","abs(abs(2*20))+2"
"6455",46,"sand-Gondi-fortythree-1","sand-Gondi","Mamta2023","fortythree",43,"renɖ koɽi munɖ","rendkorimund",NA,NA,"(2[⋅]20′)[+]3","<koɽi> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","(2[⋅]20′)[+]3","(2⋅20)+3","abs(abs(2*20))+3"
"6456",47,"sand-Gondi-fortyfour-1","sand-Gondi","Mamta2023","fortyfour",44,"renɖ koɽi nɑlu","rendkorinalu",NA,NA,"(2[⋅]20′)[+]4","<koɽi> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","(2[⋅]20′)[+]4","(2⋅20)+4","abs(abs(2*20))+4"
"6457",48,"sand-Gondi-fortyfive-1","sand-Gondi","Mamta2023","fortyfive",45,"renɖ koɽi həĩŋɡe","rendkorihaingge",NA,NA,"(2[⋅]20′)[+]5","<koɽi> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","(2[⋅]20′)[+]5","(2⋅20)+5","abs(abs(2*20))+5"
"6458",49,"sand-Gondi-fortysix-1","sand-Gondi","Mamta2023","fortysix",46,"renɖ koɽi ɑru","rendkoriaru",NA,NA,"(2[⋅]20′)[+]6","<koɽi> ‘twenty’ borrowed from Indo-Aryan (Indo-European), ultimately from Austroasiatic (?)","","RE-GLOSSED","(2[⋅]20′)[+]6","(2⋅20)+6","abs(abs(2*20))+6"
"6459",50,"sand-Gondi-fortyseven-1","sand-Gondi","Mamta2023","fortyseven",47,"renɖ koɽi sɑtu","rendkorisatu",NA,NA,"(2[⋅]20′)[+]7","<koɽi> ‘twenty’ and <sɑtu> ‘seven’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","","RE-GLOSSED","(2[⋅]20′)[+]7","(2⋅20)+7","abs(abs(2*20))+7"
"6460",51,"sand-Gondi-fortyeight-1","sand-Gondi","Mamta2023","fortyeight",48,"renɖ koɽi ɑʈu","rendkoriatu",NA,NA,"(2[⋅]20′)[+]8","<koɽi> ‘twenty’ and <ɑʈu> ‘eight’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","","RE-GLOSSED","(2[⋅]20′)[+]8","(2⋅20)+8","abs(abs(2*20))+8"
"6461",52,"sand-Gondi-fortynine-1","sand-Gondi","Mamta2023","fortynine",49,"renɖ koɽi nəʋu","rendkorinavu",NA,NA,"(2[⋅]20′)[+]9","<koɽi> ‘twenty’ and <nəʋu> ‘nine’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","","RE-GLOSSED","(2[⋅]20′)[+]9","(2⋅20)+9","abs(abs(2*20))+9"
"6462",53,"sand-Gondi-fifty-1","sand-Gondi","Mamta2023","fifty",50,"renɖ koɽi dəsu","rendkoridasu",NA,NA,"(2[⋅]20′)[+]10","<koɽi> ‘twenty’ and <dəsu> ‘ten’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","","RE-GLOSSED","(2[⋅]20′)[+]10","(2⋅20)+10","abs(abs(2*20))+10"
"6463",54,"sand-Gondi-fiftyone-1","sand-Gondi","Mamta2023","fiftyone",51,"renɖ koɽi iɡɑrɑ","rendkoriigara",NA,NA,"(2[⋅]20′)[+]11","<koɽi> ‘twenty’ and <iɡɑrɑ> ‘eleven’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","(2[⋅]20′)[+]1′+10′","RE-GLOSSED","(2[⋅]20′)[+]11","(2⋅20)+11","abs(abs(2*20))+11"
"6464",55,"sand-Gondi-fiftytwo-1","sand-Gondi","Mamta2023","fiftytwo",52,"renɖ koɽi bɑrɑ","rendkoribara",NA,NA,"(2[⋅]20′)[+]12","<koɽi> ‘twenty’ and <bɑrɑ> ‘twelve’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","(2[⋅]20′)[+]2′+10′","RE-GLOSSED","(2[⋅]20′)[+]12","(2⋅20)+12","abs(abs(2*20))+12"
"6465",56,"sand-Gondi-fiftythree-1","sand-Gondi","Mamta2023","fiftythree",53,"renɖ koɽi terɑ","rendkoritera",NA,NA,"(2[⋅]20′)[+]13","<koɽi> ‘twenty’ and <terɑ> ‘thirteen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","(2[⋅]20′)[+]3′+10′","RE-GLOSSED","(2[⋅]20′)[+]13","(2⋅20)+13","abs(abs(2*20))+13"
"6466",57,"sand-Gondi-fiftyfour-1","sand-Gondi","Mamta2023","fiftyfour",54,"renɖ koɽi cəʋdɑ","rendkoricavda",NA,NA,"(2[⋅]20′)[+]14","<koɽi> ‘twenty’ and <cəʋdɑ> ‘fourteen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","(2[⋅]20′)[+]4′+10′","RE-GLOSSED","(2[⋅]20′)[+]14","(2⋅20)+14","abs(abs(2*20))+14"
"6467",58,"sand-Gondi-fiftyfive-1","sand-Gondi","Mamta2023","fiftyfive",55,"renɖ koɽi pəndr","rendkoripandr",NA,NA,"(2[⋅]20′)[+]15","<koɽi> ‘twenty’ and <pəndr> ‘fifteen’ borrowed from Indo-Aryan (Indo-European); <koɽek> ultimately from Austroasiatic (?)","(2[⋅]20′)[+]5′+10′","RE-GLOSSED","(2[⋅]20′)[+]15","(2⋅20)+15","abs(abs(2*20))+15"
