"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"67",32,"numerals-maza1291-1-twentyfour-1","numerals-maza1291-1","Chan2019","twentyfour",24,"bist-o-čār","bistocar","","false","20+{and}4","","","RE-GLOSSED"
"68",32,"numerals-maza1291-1-twentyfour-1","numerals-maza1291-1","Chan2019","twentyfour",24,"bis-o-čār","bisocar","","false","20+{and}4","","","RE-GLOSSED"
"69",33,"numerals-maza1291-1-twentyfive-1","numerals-maza1291-1","Chan2019","twentyfive",25,"bist-o-panǰ","bistopanj","","false","20+{and}5","","","RE-GLOSSED"
"70",33,"numerals-maza1291-1-twentyfive-1","numerals-maza1291-1","Chan2019","twentyfive",25,"bis-o-panǰ","bisopanj","","false","20+{and}5","","","RE-GLOSSED"
"71",34,"numerals-maza1291-1-twentysix-1","numerals-maza1291-1","Chan2019","twentysix",26,"bist-o-šeš","bistoses","","false","20+{and}6","","","RE-GLOSSED"
"72",34,"numerals-maza1291-1-twentysix-1","numerals-maza1291-1","Chan2019","twentysix",26,"bis-o-šeš","bisoses","","false","20+{and}6","","","RE-GLOSSED"
"73",35,"numerals-maza1291-1-twentyseven-1","numerals-maza1291-1","Chan2019","twentyseven",27,"bist-o-haft","bistohaft","","false","20+{and}7","","","RE-GLOSSED"
"74",35,"numerals-maza1291-1-twentyseven-1","numerals-maza1291-1","Chan2019","twentyseven",27,"bis-o-haft","bisohaft","","false","20+{and}7","","","RE-GLOSSED"
"75",36,"numerals-maza1291-1-twentyeight-1","numerals-maza1291-1","Chan2019","twentyeight",28,"bist-o-hašt","bistohast","","false","20+{and}8","","","RE-GLOSSED"
"76",36,"numerals-maza1291-1-twentyeight-1","numerals-maza1291-1","Chan2019","twentyeight",28,"bis-o-hašt","bisohast","","false","20+{and}8","","","RE-GLOSSED"
"77",37,"numerals-maza1291-1-twentynine-1","numerals-maza1291-1","Chan2019","twentynine",29,"bist-o-ne","bistone","","false","20+{and}9","","","RE-GLOSSED"
"78",37,"numerals-maza1291-1-twentynine-1","numerals-maza1291-1","Chan2019","twentynine",29,"bis-o-ne","bisone","","false","20+{and}9","","","RE-GLOSSED"
"79",75,"numerals-wakh1245-1-twohundred-1","numerals-wakh1245-1","Chan2019","twohundred",200,"bu sad","busad","","false","2[⋅]100","<sad> ‘hundred’ borrowed from a fellow Indo-Iranian (Indo-European) language","","RE-GLOSSED"
"80",76,"numerals-wakh1245-1-twohundred-1","numerals-wakh1245-1","Chan2019","twohundred",200,"buj sad","bujsad","","false","2[⋅]100","<sad> ‘hundred’ borrowed from a fellow Indo-Iranian (Indo-European) language","","RE-GLOSSED"
