"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work"
"48",25,"numerals-bodo1269-1-twentysix-1","numerals-bodo1269-1","Chan2019","twentysix",26,"nɯizidɔ","nwizido",NA,"false","(2[⋅]10)[+]5",NA,NA,"RE-GLOSSED","(2[⋅]10)[+]5","(2⋅10)+5","abs(abs(2*10))+5",1,25,FALSE
"49",26,"numerals-bodo1269-1-twentyseven-1","numerals-bodo1269-1","Chan2019","twentyseven",27,"nɯizisni","nwizisni",NA,"false","(2[⋅]10)[+]6",NA,NA,"RE-GLOSSED","(2[⋅]10)[+]6","(2⋅10)+6","abs(abs(2*10))+6",1,26,FALSE
"50",27,"numerals-bodo1269-1-twentyeight-1","numerals-bodo1269-1","Chan2019","twentyeight",28,"nɯizidain","nwizidain",NA,"false","(2[⋅]10)[+]7",NA,NA,"RE-GLOSSED","(2[⋅]10)[+]7","(2⋅10)+7","abs(abs(2*10))+7",1,27,FALSE
"51",28,"numerals-bodo1269-1-twentynine-1","numerals-bodo1269-1","Chan2019","twentynine",29,"nɯiziɡu","nwizigu",NA,"false","(2[⋅]10)[+]8",NA,NA,"RE-GLOSSED","(2[⋅]10)[+]8","(2⋅10)+8","abs(abs(2*10))+8",1,28,FALSE
"52",25,"numerals-garo1247-1-twentytwo-1","numerals-garo1247-1","Chan2019","twentytwo",21,"kol-ɡrik-ɡin-i","kolgrikgini","","false","20+2","",NA,"RE-GLOSSED","20+2","20+2","20+2",1,22,FALSE
"53",26,"numerals-garo1247-1-twentyhree-1","numerals-garo1247-1","Chan2019","twentythree",22,"kol-ɡrik-gi-tam","kolgrikgitam","","false","20+3","",NA,"RE-GLOSSED","20+3","20+3","20+3",1,23,FALSE
"54",23,"numerals-phom1236-1-twentythree-1","numerals-phom1236-1","Chan2019","twentythree",22,"hapɨcʌm","hapicm","","false","20′+{+}3","",NA,"RE-GLOSSED","20′+3","20+3","20+3",1,23,FALSE
"55",44,"numerals-wanc1238-1-twothousand-1","numerals-wanc1238-1","Chan2019","twothousand",2000,"həjat ani³","hajatani3","","false","1000[⋅]{?}1","<həjat> ‘thousand’ borrowed from Indo-Aryan (Indo-European), ultimately from Iranian",NA,"RE-GLOSSED","1000[⋅]1","1000⋅1","abs(1000*1)",1,1000,FALSE
"56",26,"numerals-marm1234-1-twentysix-1","numerals-marm1234-1","Chan2019","twentysix",26,"hnɔiʔcʰe-kʰrɔʔ","hnoichekhro",NA,"false","(2[⋅]10)[+]7",NA,"(2[⋅]10)[+]6+1′","RE-GLOSSED","(2[⋅]10)[+]7","(2⋅10)+7","abs(abs(2*10))+7",1,27,FALSE
"57",22,"sand-Sampang-twentytwo-1","sand-Sampang","Mamta2023","twentytwo",22,"his-hi","hishi",NA,NA,"(2[⋅10])[+]1","",NA,"RE-GLOSSED","(2[⋅10])[+]1","(2⋅10)+1","abs(abs(2*10))+1",1,21,FALSE
