Language,Glottocode,Language_ID,Concept,Form,Gloss,Alternate_gloss,Comment_glosser,Source,Meaning,Referent_resource,comment_referent_resource,tabooed,ligature_form,ligature_meaning,ligature_type: associative link = 1; commitative link = 2; covert/abstent = ?; number doesnt need ligatures = !; leave in comment if the ligature or conjunction can be inferred ,comment_ligature,comment_ligatures,Absolute_vs_contextual,comments_enumerative,class_marker,comment_classmarkers,Agreement_host,,currency
Siwu,sigh1238,sigh1238,two,inyɔ,{CL'}2,,,Atsu2006:12,,,,,!,,,,,,,,,,,
Siwu,sigh1238,sigh1238,three,itɛ,{CL'}3,,,Atsu2006:12,,,,,!,,,,,,,,,,,
Siwu,sigh1238,sigh1238,four,ina,{CL'}4,,,Atsu2006:12,,,,,!,,,,,,,,,,,
Siwu,sigh1238,sigh1238,five,iru,{CL'}5,,,Atsu2006:12,,,,,!,,,,,,,,,,,
Siwu,sigh1238,sigh1238,six,ikuɔ,{CL'}6,,,Atsu2006:12,,,,,!,,,,,,,,,,,
Siwu,sigh1238,sigh1238,seven,ikɔdzɛ,{CL'}6+1',6+1,,Atsu2006:12,,,,,?,,,,,,,,,,,
Siwu,sigh1238,sigh1238,eight,frafana,{LIG}[4']+4,{LIG}4,2·4 or 4ˆ2,Atsu2006:12,,,,,?,,,,,,,,,,,
Siwu,sigh1238,sigh1238,nine,kaiwe,[10]-1,10-1,we = one or ten?,Atsu2006:12,,,,,?,,,,,,,,,,,
Siwu,sigh1238,sigh1238,ten,iweo,{CL'}10',,,Atsu2006:12,,,,,?,,,,,,,,,,,
Siwu,sigh1238,sigh1238,eleven,iweowɛ̃,{CL'}10'+{CL}1,,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twelve,iweoinyɔ,{CL'}10'+{CL'}2,,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,thirteen,iweoite,{CL'}10'+{CL'}3,,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,fourteen,iweoina,{CL'}10'+{CL'}4,,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,fifteen,iweoiru,{CL'}10'+{CL'}5,,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,sixteen,iweoikuɔ,{CL'}10'+{CL'}6,,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,seventeen,iweoikɔdzɛ,{CL'}10'+(6+1),,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,eighteen,iweofrafana,{CL'}10'+{LIG}[4']+4,10+{LIG}4,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,nineteen,iweokaiwɛ,10'+[10]-1,10+10-1,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twenty,sinyɔ,"10""·2",{LIG}2,(CHECK GRAMMR) si = likely a plural form of weo,Atsu2006:12,,,,,?,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twenty one,sinyawɛ̃,"(10""·2)+1",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twenty two,sinyɔinyɔ,"(10""·2)+{CL'}2",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twenty three,sinyɔitɛ,"(10""·2)+{CL'}3",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twenty four,sinyɔina,"(10""·2)+{CL'}4",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twenty five,sinyɔiru,"(10""·2)+{CL'}5",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twenty six,sinyɔikuɔ,"(10""·2)+{CL'}6",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twenty seven,sinyɔikɔdzɛ,"(10""·2)+({CL'}6+1')",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twenty eight,sinyɔfrafana,"(10""·2)+[4']+4",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,twenty nine,sinyɔkaiwɛ̃,"(10""·2)+([10]-1)",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,thirty,sitɛ,"10""·3",,"PLU10""·3",Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,thirty one,sitɛwɛ̃,"(10""·3)+1",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,thirty two,sitɛinyɔ,"(10""·3)+{CL'}2",,,Atsu2006:12,,,,,0,,,,,,,,,,,
Siwu,sigh1238,sigh1238,thirty three,sitɛitɛ,"(10""·3)+{CL'}3",,,Atsu2006:12,,,,,0,,,,,,,,,,,
