"","Glottocode","ID","is.glossed"
"300","ayuu1242","numerals-ayuu1242-1",TRUE
"301","azer1255","googleuninum-aze_az",TRUE
"302","azha1235","numerals-azha1235-1",TRUE
"303","azhe1235","numerals-azhe1235-1",TRUE
"304","azoy1236","numerals-azoy1236-1",TRUE
"305","baat1238","numerals-baat1238-2",TRUE
"306","baba1264","numerals-baba1264-1",TRUE
"307","baba1266","numerals-baba1266-1",TRUE
"308","baba1267","barlowpacific-baba1267-1",TRUE
"309","baba1268","numerals-baba1268-1",TRUE
"310","babi1235","numerals-babi1235-1",TRUE
"311","babu1240","numerals-babu1240-1",TRUE
"312","baca1243","barlowpacific-baca1243-2",TRUE
"313","bada1257","sand-Badaga",TRUE
"314","bada1258","numerals-bada1258-1",TRUE
"315","bada1261","numerals-bada1261-1",TRUE
"316","badi1246","numerals-badi1246-1",TRUE
"317","bady1239","numerals-bady1239-1",TRUE
"318","baeg1237","numerals-baeg1237-1",TRUE
"319","baet1237","numerals-baet1237-1",TRUE
"320","bafa1249","numerals-bafa1249-1",TRUE
"321","bafi1243","numerals-bafi1243-1",TRUE
"322","bafu1246","numerals-bafu1246-1",TRUE
"323","baga1270","numerals-baga1270-1",TRUE
"324","baga1272","numerals-baga1272-1",TRUE
"325","bagi1246","numerals-bagi1246-1",TRUE
"326","bago1245","numerals-bago1245-1",TRUE
"327","bagr1243","numerals-bagr1243-1",TRUE
"328","bagu1251","barlowpacific-bagu1251-1",TRUE
"329","bagu1252","barlowpacific-bagu1252-1",TRUE
"330","bagv1239","numerals-bagv1239-1",TRUE
"331","baha1256","numerals-baha1256-1",TRUE
"332","baha1257","numerals-baha1257-1",TRUE
"333","baha1258","barlowpacific-baha1258-1",TRUE
"334","bahi1252","sand-Bayung",TRUE
"335","bahi1254","numerals-bahi1254-1",TRUE
"336","bahn1262","numerals-bahn1262-1",TRUE
"337","baib1251","barlowpacific-baib1251-2",TRUE
"338","baik1238","numerals-baik1238-1",TRUE
"339","baim1244","numerals-baim1244-1",TRUE
"340","baim1245","barlowpacific-baim1245-1",TRUE
"341","bain1261","numerals-bain1261-1",TRUE
"342","baka1272","numerals-baka1272-1",TRUE
"343","baka1273","numerals-baka1273-1",TRUE
"344","baka1274","numerals-baka1274-1",TRUE
"345","baka1277","numerals-baka1277-1",TRUE
"346","bakh1245","numerals-bakh1245-1",TRUE
"347","baki1244","numerals-baki1244-1",TRUE
"348","bako1249","numerals-bako1249-1",TRUE
"349","baku1263","numerals-baku1263-1",TRUE
"350","bakw1243","numerals-bakw1243-1",TRUE
"351","bala1301","numerals-bala1301-1",TRUE
"352","bala1302","numerals-bala1302-1",TRUE
"353","bala1310","numerals-bala1310-1",TRUE
"354","bala1311","numerals-bala1311-1",TRUE
"355","bala1314","numerals-bala1314-1",TRUE
"356","bala1315","numerals-bala1315-1",TRUE
"357","bali1274","numerals-bali1274-1",TRUE
"358","bali1278","numerals-bali1278-1",TRUE
"359","bali1279","barlowpacific-bali1279-1",TRUE
"360","balk1252","numerals-balk1252-1",TRUE
"361","balt1257","numerals-balt1257-1",TRUE
"362","balt1258","numerals-balt1258-1",TRUE
"363","balu1257","numerals-balu1257-1",TRUE
"364","bama1251","numerals-bama1251-1",TRUE
"365","bamb1262","numerals-bamb1262-1",TRUE
"366","bamb1265","numerals-bamb1265-1",TRUE
"367","bamb1266","numerals-bamb1266-1",TRUE
"368","bamb1269","numerals-bamb1269-1",TRUE
"369","bamb1270","numerals-bamb1270-1",TRUE
"370","bamu1253","numerals-bamu1253-1",TRUE
"371","bamu1254","numerals-bamu1254-1",TRUE
"372","bamu1256","numerals-bamu1256-1",TRUE
"373","bamu1257","barlowpacific-bamu1257-1",TRUE
"374","bana1292","barlowpacific-bana1292-1",TRUE
"375","bana1307","numerals-bana1307-1",TRUE
"376","band1340","numerals-band1340-1",TRUE
"377","band1344","numerals-band1344-1",TRUE
"378","band1352","numerals-band1352-1",TRUE
"379","band1353","barlowpacific-band1353-1",TRUE
"380","band1355","numerals-band1355-1",TRUE
"381","bang1335","numerals-bang1335-1",TRUE
"382","bang1348","numerals-bang1348-2",TRUE
"383","bang1350","numerals-bang1350-1",TRUE
"384","bang1353","numerals-bang1353-1",TRUE
"385","bang1356","numerals-bang1356-1",TRUE
"386","bang1363","numerals-bang1363-1",TRUE
"387","bang1368","numerals-bang1368-1",TRUE
"388","bani1254","numerals-bani1254-1",TRUE
"389","bani1255","numerals-bani1255-1",TRUE
"390","banj1239","barlowpacific-banj1239-1",TRUE
"391","bank1259","numerals-bank1259-1",TRUE
"392","bann1247","numerals-bann1247-1",TRUE
"393","bant1281","sand-Bantawa",TRUE
"394","bant1286","barlowpacific-bant1286-1",TRUE
"395","bant1288","numerals-bant1288-1",TRUE
"396","bant1293","numerals-bant1293-1",TRUE
"397","baou1238","numerals-baou1238-1",TRUE
"398","bara1362","numerals-bara1362-1",TRUE
"399","bara1367","numerals-bara1367-1",TRUE
"400","bara1369","barlowpacific-bara1369-1",TRUE
"401","bara1370","barlowpacific-bara1370-1",TRUE
"402","bara1371","numerals-bara1371-1",TRUE
"403","bara1372","numerals-bara1372-1",TRUE
"404","bara1375","numerals-bara1375-1",TRUE
"405","bara1378","barlowpacific-bara1378-1",TRUE
"406","bara1380","numerals-bara1380-1",TRUE
"407","barc1235","numerals-barc1235-1",TRUE
"408","bard1255","bowernnumerals-Bardi",TRUE
"409","bare1276","numerals-bare1276-1",TRUE
"410","barg1252","numerals-barg1252-1",TRUE
"411","bari1286","numerals-bari1286-1",TRUE
"412","bari1290","barlowpacific-bari1290-1",TRUE
"413","bari1298","barlowpacific-bari1298-1",TRUE
"414","baro1253","numerals-baro1253-1",TRUE
"415","barr1247","numerals-barr1247-1",TRUE
"416","bart1238","numerals-bart1238-1",TRUE
"417","baru1267","numerals-baru1267-1",TRUE
"418","baru1269","barlowpacific-baru1269-1",TRUE
"419","barz1241","numerals-barz1241-1",TRUE
"420","basa1282","numerals-basa1282-1",TRUE
"421","basa1286","numerals-basa1286-1",TRUE
"422","basa1287","numerals-basa1287-1",TRUE
"423","bash1264","numerals-bash1264-1",TRUE
"424","basq1248","numerals-basq1248-1",TRUE
"425","bass1258","numerals-bass1258-1",TRUE
"426","bata1288","numerals-bata1288-1",TRUE
"427","bata1289","numerals-bata1289-1",TRUE
"428","bata1290","numerals-bata1290-1",TRUE
"429","bata1291","numerals-bata1291-1",TRUE
"430","bata1292","numerals-bata1292-1",TRUE
"431","bata1293","barlowpacific-bata1293-1",TRUE
"432","bata1294","barlowpacific-bata1294-1",TRUE
"433","bata1297","barlowpacific-bata1297-1",TRUE
"434","bata1298","numerals-bata1298-1",TRUE
"435","bata1301","numerals-bata1301-1",TRUE
"436","bate1261","numerals-bate1261-1",TRUE
"437","bate1262","numerals-bate1262-1",TRUE
"438","bath1244","numerals-bath1244-1",TRUE
"439","bati1251","numerals-bati1251-1",TRUE
"440","bati1253","barlowpacific-bati1253-1",TRUE
"441","bats1242","numerals-bats1242-1",TRUE
"442","batu1258","numerals-batu1258-1",TRUE
"443","batu1260","numerals-batu1260-1",TRUE
"444","baub1235","barlowpacific-baub1235-1",TRUE
"445","baur1251","numerals-baur1251-1",TRUE
"446","baur1252","numerals-baur1252-1",TRUE
"447","baur1253","numerals-baur1253-1",TRUE
"448","bauu1244","numerals-bauu1244-1",TRUE
"449","bauw1240","barlowpacific-bauw1240-1",TRUE
"450","bauz1241","numerals-bauz1241-1",TRUE
"451","bava1246","numerals-bava1246-1",TRUE
"452","bawm1236","numerals-bawm1236-1",TRUE
"453","bayo1255","numerals-bayo1255-1",TRUE
"454","bayo1260","numerals-bayo1260-1",TRUE
"455","bayu1240","numerals-bayu1240-1",TRUE
"456","beam1240","numerals-beam1240-1",TRUE
"457","beav1236","numerals-beav1236-2",TRUE
"458","bebe1248","numerals-bebe1248-1",TRUE
"459","bebe1250","numerals-bebe1250-1",TRUE
"460","bebe1252","numerals-bebe1252-2",TRUE
"461","bebi1242","numerals-bebi1242-1",TRUE
"462","bedi1235","numerals-bedi1235-1",TRUE
"463","bedj1245","numerals-bedj1245-1",TRUE
"464","bedo1237","numerals-bedo1237-1",TRUE
"465","beez1238","numerals-beez1238-1",TRUE
"466","bekw1241","numerals-bekw1241-1",TRUE
"467","bekw1242","numerals-bekw1242-1",TRUE
"468","bela1254","numerals-bela1254-1",TRUE
"469","bela1255","numerals-bela1255-1",TRUE
"470","bela1256","numerals-bela1256-1",TRUE
"471","bela1260","numerals-bela1260-1",TRUE
"472","belh1239","numerals-belh1239-1",TRUE
"473","beli1258","barlowpacific-beli1258-2",TRUE
"474","bell1243","numerals-bell1243-1",TRUE
"475","bemb1257","numerals-bemb1257-1",TRUE
"476","bena1262","numerals-bena1262-1",TRUE
"477","bena1262","numerals-bena1262-2",TRUE
"478","bena1264","barlowpacific-bena1264-3",TRUE
"479","bend1258","numerals-bend1258-2",TRUE
"480","bend1258","numerals-bend1258-3",TRUE
"481","bend1258","numerals-bend1258-1",TRUE
"482","beng1280","sand-Bengali",TRUE
"483","beng1282","numerals-beng1282-1",TRUE
"484","beng1286","numerals-beng1286-1",TRUE
"485","bent1238","numerals-bent1238-1",TRUE
"486","beny1237","numerals-beny1237-1",TRUE
"487","bepo1240","barlowpacific-bepo1240-1",TRUE
"488","bera1259","numerals-bera1259-1",TRUE
"489","bera1259","numerals-bera1259-2",TRUE
"490","bera1262","barlowpacific-bera1262-1",TRUE
"491","beri1254","numerals-beri1254-1",TRUE
"492","bero1242","numerals-bero1242-1",TRUE
"493","besi1244","numerals-besi1244-1",TRUE
"494","besm1235","numerals-besm1235-1",TRUE
"495","beso1237","numerals-beso1237-1",TRUE
"496","beta1252","barlowpacific-beta1252-1",TRUE
"497","beta1253","barlowpacific-beta1253-1",TRUE
"498","bete1262","numerals-bete1262-1",TRUE
"499","beti1249","numerals-beti1249-1",TRUE
"500","bett1235","numerals-bett1235-1",TRUE
"501","bezh1248","numerals-bezh1248-1",TRUE
"502","bhad1241","numerals-bhad1241-1",TRUE
"503","bhar1241","numerals-bhar1241-1",TRUE
"504","bhat1265","numerals-bhat1265-1",TRUE
"505","bhel1238","numerals-bhel1238-1",TRUE
"506","bhil1251","numerals-bhil1251-1",TRUE
"507","bhoj1244","numerals-bhoj1244-1",TRUE
"508","bhum1234","numerals-bhum1234-1",TRUE
"509","biaf1240","numerals-biaf1240-1",TRUE
"510","biag1234","barlowpacific-biag1234-1",TRUE
"511","biak1248","numerals-biak1248-1",TRUE
"512","bial1238","numerals-bial1238-1",TRUE
"513","bian1251","numerals-bian1251-1",TRUE
"514","bian1252","numerals-bian1252-1",TRUE
"515","biao1253","numerals-biao1253-1",TRUE
"516","biao1255","numerals-biao1255-1",TRUE
"517","biao1256","numerals-biao1256-1",TRUE
"518","biat1246","numerals-biat1246-1",TRUE
"519","bidy1244","numerals-bidy1244-1",TRUE
"520","biem1237","numerals-biem1237-1",TRUE
"521","bier1244","numerals-bier1244-1",TRUE
"522","bier1246","numerals-bier1246-1",TRUE
"523","biet1238","numerals-biet1238-1",TRUE
"524","biga1238","numerals-biga1238-1",TRUE
"525","bign1238","numerals-bign1238-1",TRUE
"526","biha1246","barlowpacific-biha1246-1",TRUE
"527","bijo1238","numerals-bijo1238-1",TRUE
"528","bila1255","numerals-bila1255-1",TRUE
"529","bila1257","barlowpacific-bila1257-1",TRUE
"530","bilb1241","barlowpacific-bilb1241-2",TRUE
"531","bilb1242","barlowpacific-bilb1242-1",TRUE
"532","bili1250","bowernnumerals-Bili",TRUE
"533","bilu1244","barlowpacific-bilu1244-1",TRUE
"534","bilu1245","numerals-bilu1245-1",TRUE
"535","bima1247","numerals-bima1247-1",TRUE
"536","bimi1240","barlowpacific-bimi1240-1",TRUE
"537","bimo1239","numerals-bimo1239-1",TRUE
"538","bina1271","numerals-bina1271-1",TRUE
"539","bina1274","barlowpacific-bina1274-1",TRUE
"540","bina1275","barlowpacific-bina1275-2",TRUE
"541","bina1277","barlowpacific-bina1277-4",TRUE
"542","bine1240","barlowpacific-bine1240-1",TRUE
"543","bini1246","numerals-bini1246-1",TRUE
"544","binj1249","numerals-binj1249-1",TRUE
"545","bino1237","numerals-bino1237-1",TRUE
"546","bint1245","numerals-bint1245-1",TRUE
"547","bint1246","numerals-bint1246-1",TRUE
"548","binu1245","numerals-binu1245-1",TRUE
"549","bipi1237","numerals-bipi1237-1",TRUE
"550","bira1253","numerals-bira1253-1",TRUE
"551","bira1254","numerals-bira1254-1",TRUE
"552","birh1242","numerals-birh1242-1",TRUE
"553","biri1259","numerals-biri1259-1",TRUE
"554","birr1241","bowernnumerals-Birrp",TRUE
"555","birw1238","numerals-birw1238-1",TRUE
"556","bish1244","numerals-bish1244-1",TRUE
