"","NumberValue","Gloss.math","n","prop","number.strategies"
"200","13","16−4+1",2,0.000578368999421631,25
"201","13","2+2+2+2+2+2+1",1,0.000289184499710815,25
"202","13","2⋅5+(2⋅2−1)",1,0.000289184499710815,25
"203","13","2⋅5+1+2",2,0.000578368999421631,25
"204","13","2⋅5+2+1",6,0.00173510699826489,25
"205","13","2⋅5+3",49,0.01417004048583,25
"206","13","2⋅6+1",3,0.000867553499132446,25
"207","13","3+(2−1)⋅10",1,0.000289184499710815,25
"208","13","3+10",614,0.177559282822441,25
"209","13","3+5+5",3,0.000867553499132446,25
"210","13","4⋅3+1",6,0.00173510699826489,25
"211","13","5+2+2+2+2",1,0.000289184499710815,25
"212","13","5+5+2+1",17,0.00491613649508386,25
"213","13","5+5+3",22,0.00636205899363794,25
"214","13","5⋅2+2+1",34,0.00983227299016773,25
"215","13","5⋅2+3",86,0.0248698669751301,25
"216","13","8+2+3",1,0.000289184499710815,25
"217","13","8+5",1,0.000289184499710815,25
"218","133","5⋅20+3+20+10",1,1,1
"219","14","(2−1)⋅10+4",1,0.000294117647058824,39
"220","14","1+13",1,0.000294117647058824,39
"221","14","10+(1−5)",2,0.000588235294117647,39
"222","14","10+2+2",15,0.00441176470588235,39
"223","14","10+2⋅2",15,0.00441176470588235,39
"224","14","10+3+1",1,0.000294117647058824,39
"225","14","10+4",2503,0.736176470588235,39
"226","14","12+2",11,0.00323529411764706,39
"227","14","13+1",1,0.000294117647058824,39
"228","14","14",8,0.00235294117647059,39
"229","14","15−1",8,0.00235294117647059,39
"230","14","16−4+2",2,0.000588235294117647,39
"231","14","1−(10+5)",1,0.000294117647058824,39
"232","14","1−15",3,0.000882352941176471,39
"233","14","2+2+10",1,0.000294117647058824,39
"234","14","2+2+2+2+2+2+2",1,0.000294117647058824,39
"235","14","2⋅2+10",3,0.000882352941176471,39
"236","14","2⋅2+5+5",2,0.000588235294117647,39
"237","14","2⋅5+(1−5)",1,0.000294117647058824,39
"238","14","2⋅5+2+1+1",1,0.000294117647058824,39
"239","14","2⋅5+2+2",6,0.00176470588235294,39
"240","14","2⋅5+2⋅2",4,0.00117647058823529,39
"241","14","2⋅5+4",45,0.0132352941176471,39
"242","14","2⋅6+2",2,0.000588235294117647,39
"243","14","2⋅7",1,0.000294117647058824,39
"244","14","3⋅5−1",1,0.000294117647058824,39
"245","14","4+10",595,0.175,39
"246","14","4+5+5",1,0.000294117647058824,39
"247","14","4⋅3+2",6,0.00176470588235294,39
"248","14","5+5+(5−1)",1,0.000294117647058824,39
"249","14","5+5+2+2",24,0.00705882352941176,39
"250","14","5+5+3+1",1,0.000294117647058824,39
"251","14","5+5+4",11,0.00323529411764706,39
"252","14","5⋅2+2+1+1",1,0.000294117647058824,39
"253","14","5⋅2+2+2",45,0.0132352941176471,39
"254","14","5⋅2+2⋅2",4,0.00117647058823529,39
"255","14","5⋅2+4",69,0.0202941176470588,39
"256","14","8+2+4",1,0.000294117647058824,39
"257","14","8+6",1,0.000294117647058824,39
"258","140","20⋅(5+2)",1,0.5,2
"259","140","20⋅7",1,0.5,2
"260","144","12⋅12",1,1,1
"261","15","(2+1)⋅5",1,0.000287108814240597,28
"262","15","(2−1)⋅10+5",1,0.000287108814240597,28
"263","15","1+14",1,0.000287108814240597,28
"264","15","10+10⋅½",1,0.000287108814240597,28
"265","15","10+2+3",1,0.000287108814240597,28
"266","15","10+2⋅2+1",1,0.000287108814240597,28
"267","15","10+5",2484,0.713178294573643,28
"268","15","12+3",10,0.00287108814240597,28
"269","15","14+1",3,0.000861326442721792,28
"270","15","15",91,0.0261269020958943,28
"271","15","16−4+3",2,0.000574217628481194,28
"272","15","2+2+2+2+2+2+2+1",2,0.000574217628481194,28
"273","15","20−5",2,0.000574217628481194,28
"274","15","2⋅5+5",49,0.0140683318977893,28
"275","15","2⋅6+2+1",1,0.000287108814240597,28
"276","15","2⋅6+3",1,0.000287108814240597,28
"277","15","3⋅5",15,0.00430663221360896,28
"278","15","4⋅3+3",6,0.00172265288544358,28
"279","15","5+10",604,0.173413723801321,28
"280","15","5+5+2+2+1",1,0.000287108814240597,28
"281","15","5+5+5",51,0.0146425495262705,28
"282","15","5−20",5,0.00143554407120299,28
"283","15","5⋅(2+1)",3,0.000861326442721792,28
"284","15","5⋅2+2+2+1",1,0.000287108814240597,28
"285","15","5⋅2+5",118,0.0338788400803905,28
"286","15","5⋅3",26,0.00746482917025553,28
"287","15","8+2+4+1",1,0.000287108814240597,28
"288","15","8+7",1,0.000287108814240597,28
"289","150","100+5⋅10",1,0.333333333333333,3
"290","150","15⋅10",1,0.333333333333333,3
"291","150","3⋅5⋅10",1,0.333333333333333,3
"292","16","(2−1)⋅10+6",1,0.000297176820208024,40
"293","16","1+10+5",2,0.000594353640416047,40
"294","16","1+15",9,0.00267459138187221,40
"295","16","1+5+10",9,0.00267459138187221,40
"296","16","10++5+1",3,0.000891530460624071,40
"297","16","10+1+5",44,0.013075780089153,40
"298","16","10+2⋅3",24,0.00713224368499257,40
"299","16","10+3+3",13,0.00386329866270431,40
"300","16","10+3⋅2",7,0.00208023774145617,40
"301","16","10+4+1+1",1,0.000297176820208024,40
"302","16","10+5+1",499,0.148291233283804,40
"303","16","10+6",1889,0.561367013372957,40
"304","16","12+4",9,0.00267459138187221,40
"305","16","14+2",2,0.000594353640416047,40
"306","16","15+1",86,0.02555720653789,40
"307","16","16",4,0.00118870728083209,40
"308","16","2+2+2+2+2+2+2+2",2,0.000594353640416047,40
"309","16","20−4",1,0.000297176820208024,40
"310","16","2⋅3+10",2,0.000594353640416047,40
"311","16","2⋅5+1+5",3,0.000891530460624071,40
"312","16","2⋅5+3⋅2",1,0.000297176820208024,40
"313","16","2⋅5+5+1",29,0.00861812778603269,40
"314","16","2⋅5+6",6,0.00178306092124814,40
"315","16","2⋅6+2+2",1,0.000297176820208024,40
"316","16","2⋅8",1,0.000297176820208024,40
"317","16","3⋅5+1",11,0.00326894502228826,40
"318","16","4−20",5,0.00148588410104012,40
