"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","rb","sb","cb"
"111","numerals-nalu1240-1-eighty-1","numerals-nalu1240-1","Chan2019","eighty","80","alafaŋ teːduŋ ti paːt","alafangtedungtipat","","FALSE","10′⋅(5+{{LIG}3)",NA,NA,"EAT",TRUE,TRUE,FALSE
"112","numerals-nalu1240-1-ninety-1","numerals-nalu1240-1","Chan2019","ninety","90","alafaŋ teːduŋ ti biːnaːŋ","alafangtedungtibinang","","FALSE","10′⋅(5+{{LIG}4)",NA,NA,"EAT",TRUE,TRUE,FALSE
"113","numerals-nuba1241-1-seventy-1","numerals-nuba1241-1","Chan2019","seventy","70","mà wó má tʃíndát nà wúmè","mawomatsindatnawume","","FALSE","10′+(10⋅(6+{and}1′)",NA,NA,"EAT",FALSE,TRUE,TRUE
"114","numerals-nuba1241-1-ninety-1","numerals-nuba1241-1","Chan2019","ninety","90","mà wó má námàɲí nà wúmè","mawomanamaninawume","","FALSE","10′+(10⋅(8+{and}1′)",NA,NA,"EAT",FALSE,TRUE,TRUE
"115","numerals-nucl1379-1-nineteen-1","numerals-nucl1379-1","Chan2019","nineteen","19","kɨtsiɡo na budikakupamato","kitsigonabudikakupamato","","FALSE","(10+1)+{and}{LIG}[10]−1)",NA,NA,"EAT",FALSE,TRUE,TRUE
"116","aghe1239-1-27-1","aghe1239-1",NA,"27",NA,"ŋ̩́ɣə́mḿ̩bə̀ˠààɣɪ̀wǒsə̀ɣàⁿbə̄ˠā","ŋ̩́ɣə́mḿ̩bə̀ˠààɣɪ̀wǒsə̀ɣàⁿbə̄ˠā",NA,NA,"(10⋅2)+{+}{3′⋅2{?})",NA,NA,"EAT",FALSE,TRUE,FALSE
"117","aghe1239-2-27-1","aghe1239-2",NA,"27",NA,"wóʔó wû àɣè tɔ̀ tɨ́ sɨ̀ɣàmbɨ̀ɣà","wóʔó wû àɣè tɔ̀ tɨ́ sɨ̀ɣàmbɨ̀ɣà",NA,NA,"20+{+}(3′⋅2{?}",NA,NA,"EAT",FALSE,TRUE,TRUE
"118","numerals-bedi1235-1-one-2","numerals-bedi1235-1","Chan2019","one","1","diye","diye","","FALSE","CL′}1",NA,NA,"EAT",TRUE,TRUE,FALSE
"119","numerals-bidy1244-1-five-1","numerals-bidy1244-1","Chan2019","five","5","n-deɔkɔ","ndeoko","","FALSE","(CL}5",NA,NA,"EAT",FALSE,TRUE,FALSE
"120","numerals-bidy1244-1-six-1","numerals-bidy1244-1","Chan2019","six","6","(n-deɔkɔ) na nɔɔd","ndeokonanood","( 5 + 1 )","FALSE","(CL}5+{+}1",NA,NA,"EAT",FALSE,TRUE,FALSE
"121","numerals-bidy1244-1-seven-1","numerals-bidy1244-1","Chan2019","seven","7","(n-deɔkɔ) ni n-som","ndeokoninsom","( 5 + 2 )","FALSE","({CL}5+{+}{CL}2",NA,NA,"EAT",FALSE,TRUE,TRUE
"122","numerals-bidy1244-1-eight-1","numerals-bidy1244-1","Chan2019","eight","8","(n-deɔkɔ) ni ɲ-ɲɔɔkɔ","ndeokoninnooko","( 5 + 3 )","FALSE","({CL}5+{+}{CL}3",NA,NA,"EAT",FALSE,TRUE,TRUE
"123","numerals-bidy1244-1-nine-1","numerals-bidy1244-1","Chan2019","nine","9","(n-deɔkɔ) na ya-aɡɛnɛk","ndeokonayaagenek","( 5 + 4 )","FALSE","({CL}5+{+}{CL}4",NA,NA,"EAT",FALSE,TRUE,TRUE
"124","numerals-bidy1244-1-fifty-1","numerals-bidy1244-1","Chan2019","fifty","50","ya-joko ya-n-som n-ruakɔ","yajokoyansomnruako","","FALSE","{CL′}20⋅({CL′}4+{+}{CL}10",NA,NA,"EAT",FALSE,TRUE,TRUE
"125","numerals-bidy1244-1-twohundred-1","numerals-bidy1244-1","Chan2019","twohundred","200","ya-joko n-ruakɔ","yajokonruako","( 20 x 10 )","FALSE","{CL}20⋅({CL}10",NA,NA,"EAT",FALSE,TRUE,TRUE
"126","numerals-genn1243-1-seventy-1","numerals-genn1243-1","Chan2019","seventy","70","kātǎk͡pócíwó","katakpociwo","( 60 + 10 )","FALSE","(40⋅2′)+10′)",NA,NA,"EAT",FALSE,TRUE,TRUE
"127","jita1239-1-60-1","jita1239-1",NA,"60",NA,"makumi ɡatanu na ɾimʷi","makumi ɡatanu na ɾimʷi",NA,NA,"{CL″}10⋅({CL‴}5)+{+}1)",NA,NA,"EAT",FALSE,TRUE,TRUE
"128","jita1239-1-70-1","jita1239-1",NA,"70",NA,"makumi ɡatanu na ɡaβiɾi","makumi ɡatanu na ɡaβiɾi",NA,NA,"{CL″}10⋅({CL‴}5)+{+}{CL‴}2)",NA,NA,"EAT",FALSE,TRUE,TRUE
"129","jita1239-1-80-1","jita1239-1",NA,"80",NA,"makumi ɡatanu na ɡasatu","makumi ɡatanu na ɡasatu",NA,NA,"{CL″}10⋅({CL‴}5)+{+}{CL‴}3)",NA,NA,"EAT",FALSE,TRUE,TRUE
"130","jita1239-1-90-1","jita1239-1",NA,"90",NA,"makumi ɡatanu na ɡana","makumi ɡatanu na ɡana",NA,NA,"{CL″}10⋅({CL‴}5)+{+}{CL‴}4)",NA,NA,"EAT",FALSE,TRUE,TRUE
"131","kgal1244-1-22-1","kgal1244-1",NA,"22",NA,"maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ lɪ mɪbeːrí","maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ lɪ mɪbeːrí",NA,NA,"({CL″}10⋅{⋅}{CL″}2)+{+}{CL″]}1+{+}2",NA,NA,"EAT",TRUE,FALSE,TRUE
"132","kgal1244-1-23-1","kgal1244-1",NA,"23",NA,"maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ lɪ mɪráːrʊ","maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ lɪ mɪráːrʊ",NA,NA,"({CL″}10⋅{⋅}{CL″}2)+{+}{CL″]}1+{+}3",NA,NA,"EAT",TRUE,FALSE,TRUE
"133","kgal1244-1-24-1","kgal1244-1",NA,"24",NA,"maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ lɪ mɪ́ːnɛ","maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ lɪ mɪ́ːnɛ",NA,NA,"({CL″}10⋅{⋅}{CL″}2)+{+}{CL″]}1+{+}4",NA,NA,"EAT",TRUE,FALSE,TRUE
"134","kgal1244-1-25-1","kgal1244-1",NA,"25",NA,"maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ lɪ mɪtʰáːnʊ","maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ lɪ mɪtʰáːnʊ",NA,NA,"({CL″}10⋅{⋅}{CL″}2)+{+}{CL″]}1+{+}5",NA,NA,"EAT",TRUE,FALSE,TRUE
"135","kgal1244-1-26-1","kgal1244-1",NA,"26",NA,"maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ lɪ mɪrátáːrʊ","maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ lɪ mɪrátáːrʊ",NA,NA,"({CL″}10⋅{⋅}{CL″}2)+{+}{CL″]}1+{+}6",NA,NA,"EAT",TRUE,FALSE,TRUE
"136","kgal1244-1-27-1","kgal1244-1",NA,"27",NA,"maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ súːpa","maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ súːpa",NA,NA,"({CL″}10⋅{⋅}{CL″}2)+{+}{CL″]}1+{+}7",NA,NA,"EAT",TRUE,FALSE,TRUE
"137","kgal1244-1-28-1","kgal1244-1",NA,"28",NA,"maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ bútámɪbeːrí","maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ bútámɪbeːrí",NA,NA,"({CL″}10⋅{⋅}{CL″}2)+{+}{CL″]}1+{+}({CL}[10]{LIG}−2)",NA,NA,"EAT",TRUE,FALSE,TRUE
"138","kgal1244-1-29-1","kgal1244-1",NA,"29",NA,"maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ bútámowóːnʷɛ","maʃʊ́mɪ ʊ́ maberí lɪ́ mɪ́nɔ ɪ bútámowóːnʷɛ",NA,NA,"({CL″}10⋅{⋅}{CL″}2)+{+}{CL″]}1+{+}({CL}[10]{LIG}−1)",NA,NA,"EAT",TRUE,FALSE,TRUE
"139","kota1274-2-28-1","kota1274-2",NA,"28",NA,"ma-ko ma-ba na mwaambi","ma-ko ma-ba na mwaambi",NA,NA,"({CL}10′⋅{CL}2)+{+)8",NA,NA,"EAT",FALSE,TRUE,FALSE
"140","""laar1238-1-80-1""","""laar1238-1""",NA,"80",NA,"""makuumí náána""","""makuumí náána""",NA,NA,"″{CL}10⋅({CL}8″",NA,NA,"EAT",FALSE,TRUE,TRUE
"141","""laar1238-1-90-1""","""laar1238-1""",NA,"90",NA,"""makuumí vwá""","""makuumí vwá""",NA,NA,"″{CL}10⋅({CL}9″",NA,NA,"EAT",FALSE,TRUE,TRUE
"142","numerals-mand1423-1-ninety-1","numerals-mand1423-1","Chan2019","ninety","90","makumi muhanʉ na makumi ncheche","makumimuhanunamakumincheche","","FALSE","({CL″}10⋅{CL′}5)+{and}({CL10+{and}4)",NA,NA,"EAT",TRUE,TRUE,FALSE
"143","meru1245-1-70-1","meru1245-1",NA,"70",NA,"meɾɔŋɡɔ moɡʷaɲd͡ʒa","meɾɔŋɡɔ moɡʷaɲd͡ʒa",NA,NA,"({CL″}10′⋅{CL″}5′+2′",NA,NA,"EAT",FALSE,TRUE,TRUE
"144","mpie1238-2-1000-1","mpie1238-2",NA,"1000",NA,"tɔmaí nɡuatɔ","tɔmaí nɡuatɔ",NA,NA,"({CL‴}1000⋅1",NA,NA,"EAT",FALSE,TRUE,TRUE
"145","ndal1241-1-20-1","ndal1241-1",NA,"20",NA,"ma-loᵑɡo ma-ŵiri","ma-loᵑɡo ma-ŵiri",NA,NA,"{CL″]10⋅{CL″}2",NA,NA,"EAT",TRUE,FALSE,FALSE
"146","ndal1241-1-21-1","ndal1241-1",NA,"21",NA,"ma-loᵑɡo ma-ŵiri na kamo","ma-loᵑɡo ma-ŵiri na kamo",NA,NA,"({CL″]10⋅{CL″}2)+{and}{CL}1′",NA,NA,"EAT",TRUE,FALSE,FALSE
"147","ndal1241-1-22-1","ndal1241-1",NA,"22",NA,"ma-loᵑɡo ma-ŵiri ni fi-ŵiri","ma-loᵑɡo ma-ŵiri ni fi-ŵiri",NA,NA,"({CL″]10⋅{CL″}2)+{and}{CL′}2",NA,NA,"EAT",TRUE,FALSE,FALSE
"148","ndal1241-1-23-1","ndal1241-1",NA,"23",NA,"ma-loᵑɡo ma-ŵiri ni fi-tatʊ","ma-loᵑɡo ma-ŵiri ni fi-tatʊ",NA,NA,"({CL″]10⋅{CL″}2)+{and}{CL′}3",NA,NA,"EAT",TRUE,FALSE,FALSE
"149","ndal1241-1-24-1","ndal1241-1",NA,"24",NA,"ma-loᵑɡo ma-ŵiri ni fi-na","ma-loᵑɡo ma-ŵiri ni fi-na",NA,NA,"({CL″]10⋅{CL″}2)+{and}{CL′}4",NA,NA,"EAT",TRUE,FALSE,FALSE
"150","ndal1241-1-25-1","ndal1241-1",NA,"25",NA,"ma-loᵑɡo ma-ŵiri ni fi-hano","ma-loᵑɡo ma-ŵiri ni fi-hano",NA,NA,"({CL″]10⋅{CL″}2)+{and}{CL′}5",NA,NA,"EAT",TRUE,FALSE,FALSE
"151","ndal1241-1-26-1","ndal1241-1",NA,"26",NA,"ma-loᵑɡo ma-ŵiri ni + 6","ma-loᵑɡo ma-ŵiri ni + 6",NA,NA,"({CL″]10⋅{CL″}2)+{and}{CL′}5+1","the last for ‘6’ is probably a mistake from source. The analyses assumes the form of six - 6.",NA,"EAT",TRUE,FALSE,FALSE
"152","ndal1241-1-27-1","ndal1241-1",NA,"27",NA,"ma-loᵑɡo ma-ŵiri ni + 7","ma-loᵑɡo ma-ŵiri ni + 7",NA,NA,"({CL″]10⋅{CL″}2)+{and}{CL′}5+{and}2","the last for ‘6’ is probably a mistake from source. The analyses assumes the form of six - 7",NA,"EAT",TRUE,FALSE,FALSE
"153","ndal1241-1-28-1","ndal1241-1",NA,"28",NA,"ma-loᵑɡo ma-ŵiri ni + 8","ma-loᵑɡo ma-ŵiri ni + 8",NA,NA,"({CL″]10⋅{CL″}2)+{and}{CL′}5+{and}3","the last for ‘6’ is probably a mistake from source. The analyses assumes the form of six - 8",NA,"EAT",TRUE,FALSE,FALSE
"154","ndal1241-1-29-1","ndal1241-1",NA,"29",NA,"ma-loᵑɡo ma-ŵiri ni + 9","ma-loᵑɡo ma-ŵiri ni + 9",NA,NA,"({CL″]10⋅{CL″}2)+{and}{CL′}5+{and}4","the last for ‘6’ is probably a mistake from source. The analyses assumes the form of six - 9",NA,"EAT",TRUE,FALSE,FALSE
"155","nkoy1244-1-21-1","nkoy1244-1",NA,"21",NA,"makumi abili na kamo","makumi abili na kamo",NA,NA,"({CL‴}10⋅]{CL″″}2)+{and}1",NA,NA,"EAT",TRUE,FALSE,TRUE
"156","numerals-nzak1246-1-seventy-1","numerals-nzak1246-1","Chan2019","seventy","70","ɓoo zì ndɔ́kɔ sày","boozindokosay","","FALSE","10⋅({LIG}([10]−3)",NA,NA,"EAT",FALSE,TRUE,TRUE
"157","numerals-nzak1246-1-eighty-1","numerals-nzak1246-1","Chan2019","eighty","80","ɓoo zì ndɔ́kɔ sère","boozindokosere","","FALSE","10⋅({LIG}([10]−2)",NA,NA,"EAT",FALSE,TRUE,TRUE
"158","numerals-nzak1246-1-ninety-1","numerals-nzak1246-1","Chan2019","ninety","90","ɓoo zì ndɔ́kɔ mbíew","boozindokombiew","","FALSE","10⋅({LIG}([10]−1)",NA,NA,"EAT",FALSE,TRUE,TRUE
"159","numerals-pape1239-1-eleven-1","numerals-pape1239-1","Chan2019","eleven","11","o-diseɲene o-loŋ","odiseneneolong","","FALSE","{CL}[2]⋅5)+{CL}1",NA,NA,"EAT",FALSE,TRUE,TRUE
"160","numerals-pape1239-1-twelve-1","numerals-pape1239-1","Chan2019","twelve","12","o-diseɲene o-puɡus","odiseneneopugus","","FALSE","{CL}[2]⋅5)+{CL}2",NA,NA,"EAT",FALSE,TRUE,TRUE
"161","numerals-pape1239-1-thirteen-1","numerals-pape1239-1","Chan2019","thirteen","13","o-diseɲene o-ŋaɟenʂ","odiseneneongajens","","FALSE","{CL}[2]⋅5)+{CL}3",NA,NA,"EAT",FALSE,TRUE,TRUE
"162","numerals-pape1239-1-fourteen-1","numerals-pape1239-1","Chan2019","fourteen","14","o-diseɲene o-uakr","odiseneneouakr","","FALSE","{CL}[2]⋅5)+{CL}4",NA,NA,"EAT",FALSE,TRUE,TRUE
"163","numerals-pape1239-1-fifteen-1","numerals-pape1239-1","Chan2019","fifteen","15","o-diseɲene o-ɲene","odiseneneonene","","FALSE","{CL}[2]⋅5)+{CL}5",NA,NA,"EAT",FALSE,TRUE,TRUE
"164","numerals-pape1239-1-sixteen-1","numerals-pape1239-1","Chan2019","sixteen","16","o-diseɲene o-paaɟ","odiseneneopaaj","","FALSE","{CL}[2]⋅5)+{CL}6",NA,NA,"EAT",FALSE,TRUE,TRUE
"165","numerals-pape1239-1-seventeen-1","numerals-pape1239-1","Chan2019","seventeen","17","o-diseɲene o-ɟand","odiseneneojand","","FALSE","{CL}[2]⋅5)+{CL}7",NA,NA,"EAT",FALSE,TRUE,TRUE
"166","numerals-pape1239-1-eighteen-1","numerals-pape1239-1","Chan2019","eighteen","18","o-diseɲene o-bakari","odiseneneobakari","","FALSE","{CL}[2]⋅5)+{CL}8",NA,NA,"EAT",FALSE,TRUE,TRUE
"167","numerals-pape1239-1-nineteen-1","numerals-pape1239-1","Chan2019","nineteen","19","o-diseɲene k-ɲeŋ k-loŋ","odiseneneknengklong","","FALSE","{CL}[2]⋅5)+{CL″}10−{CL″}1",NA,NA,"EAT",FALSE,TRUE,TRUE
"168","numerals-pula1263-1-twentyone-1","numerals-pula1263-1","Chan2019","twentyone","21","nooɡas e ɡoo","noogasegoo","","FALSE","20+{+]1",NA,NA,"EAT",TRUE,FALSE,FALSE
"169","numerals-pula1263-1-twentytwo-1","numerals-pula1263-1","Chan2019","twentytwo","22","nooɡas e ɗiɗi","noogasedidi","","FALSE","20+{+]2",NA,NA,"EAT",TRUE,FALSE,FALSE
"170","numerals-pula1263-1-twentythree-1","numerals-pula1263-1","Chan2019","twentythree","23","nooɡas e tati","noogasetati","","FALSE","20+{+]3",NA,NA,"EAT",TRUE,FALSE,FALSE
"171","numerals-pula1263-1-twentyfour-1","numerals-pula1263-1","Chan2019","twentyfour","24","nooɡas e naj","noogasenaj","","FALSE","20+{+]4",NA,NA,"EAT",TRUE,FALSE,FALSE
"172","numerals-pula1263-1-twentyfive-1","numerals-pula1263-1","Chan2019","twentyfive","25","nooɡas e d͡ʒoj","noogasedzoj","","FALSE","20+{+]5",NA,NA,"EAT",TRUE,FALSE,FALSE
"173","numerals-pula1263-1-twentysix-1","numerals-pula1263-1","Chan2019","twentysix","26","nooɡas e d͡ʒeeɡom","noogasedzeegom","","FALSE","20+{+]5+{+}1′",NA,NA,"EAT",TRUE,FALSE,FALSE
"174","numerals-pula1263-1-twentyseven-1","numerals-pula1263-1","Chan2019","twentyseven","27","nooɡas e d͡ʒeeɗiɗi","noogasedzeedidi","","FALSE","20+{+]5+{+}2",NA,NA,"EAT",TRUE,FALSE,FALSE
"175","numerals-pula1263-1-twentyeight-1","numerals-pula1263-1","Chan2019","twentyeight","28","nooɡas e d͡ʒeetati","noogasedzeetati","","FALSE","20+{+]5+{+}3",NA,NA,"EAT",TRUE,FALSE,FALSE
"176","numerals-pula1263-1-twentynine-1","numerals-pula1263-1","Chan2019","twentynine","29","nooɡas e d͡ʒeenaj","noogasedzeenaj","","FALSE","20+{+]5+{+}4",NA,NA,"EAT",TRUE,FALSE,FALSE
"177","suku1261-1-80-1","suku1261-1",NA,"80",NA,"makʊmi anaáne","makʊmi anaáne",NA,NA,"{CL′}10⋅(CL″}4′+4",NA,NA,"EAT",FALSE,TRUE,FALSE
"178","numerals-tafi1243-1-twentyone-1","numerals-tafi1243-1","Chan2019","twentyone","21","áfɛtabʰāntolí","afetabhantoli","","FALSE","{PLU}10′⋅{CL″″}2)+[+]{CL″″}1",NA,NA,"EAT",FALSE,TRUE,TRUE
"179","numerals-tafi1243-1-twentytwo-1","numerals-tafi1243-1","Chan2019","twentytwo","22","áfɛtabʰāntiabʰa","afetabhantiabha","","FALSE","{PLU}10′⋅{CL″″}2)+[+]{CL″″}2",NA,NA,"EAT",FALSE,TRUE,TRUE
"180","numerals-tafi1243-1-twentythree-1","numerals-tafi1243-1","Chan2019","twentythree","23","aáfɛtabʰāntiatá","aafetabhantiata","","FALSE","{PLU}10′⋅{CL″″}2)+[+]{CL″″}3",NA,NA,"EAT",FALSE,TRUE,TRUE
"181","numerals-tafi1243-1-twentyfour-1","numerals-tafi1243-1","Chan2019","twentyfour","24","áfɛtabʰāntiãlɛ́","afetabhantiale","","FALSE","{PLU}10′⋅{CL″″}2)+[+]{CL″″}4",NA,NA,"EAT",FALSE,TRUE,TRUE
"182","numerals-tafi1243-1-twentyfive-1","numerals-tafi1243-1","Chan2019","twentyfive","25","áfɛtabʰāntietí","afetabhantieti","","FALSE","{PLU}10′⋅{CL″″}2)+[+]{CL″″}5",NA,NA,"EAT",FALSE,TRUE,TRUE
"183","numerals-tafi1243-1-twentysix-1","numerals-tafi1243-1","Chan2019","twentysix","26","áfɛtabʰāntieholō","afetabhantieholo","","FALSE","{PLU}10′⋅{CL″″}2)+[+]{CL″″}6",NA,NA,"EAT",FALSE,TRUE,TRUE
"184","numerals-tafi1243-1-twentyseven-1","numerals-tafi1243-1","Chan2019","twentyseven","27","áfɛtabʰāntieɡéné","afetabhantiegene","","FALSE","{PLU}10′⋅{CL″″}2)+[+]{CL″″}7",NA,NA,"EAT",FALSE,TRUE,TRUE
"185","numerals-tafi1243-1-twentyeight-1","numerals-tafi1243-1","Chan2019","twentyeight","28","áfɛtabʰāntiasuɛ","afetabhantiasue","","FALSE","{PLU}10′⋅{CL″″}2)+[+]{CL″″}8",NA,NA,"EAT",FALSE,TRUE,TRUE
"186","numerals-tafi1243-1-twentynine-1","numerals-tafi1243-1","Chan2019","twentynine","29","áfɛtabʰāntieʒitá","afetabhantiezita","","FALSE","{PLU}10′⋅{CL″″}2)+[+]{CL″″}9",NA,NA,"EAT",FALSE,TRUE,TRUE
"187","tson1249-2-21-1","tson1249-2",NA,"21",NA,"màkúmè màmbírhì ni -nʼwè","màkúmè màmbírhì ni -nʼwè",NA,NA,"{CL″}10⋅{C″}2)+{and}1",NA,"(10 · 2) + 1","EAT",FALSE,TRUE,TRUE
"188","tson1249-2-22-1","tson1249-2",NA,"22",NA,"màkúmè màmbírhì ni -mbìrhì","màkúmè màmbírhì ni -mbìrhì",NA,NA,"{CL″}10⋅{C″}2)+{and}2",NA,"(10 · 2) + 2","EAT",FALSE,TRUE,TRUE
"189","tson1249-2-23-1","tson1249-2",NA,"23",NA,"màkúmè màmbírhì ni -nhárhù","màkúmè màmbírhì ni -nhárhù",NA,NA,"{CL″}10⋅{C″}2)+{and}3",NA,"(10 · 2) + 3","EAT",FALSE,TRUE,TRUE
"190","tson1249-2-24-1","tson1249-2",NA,"24",NA,"màkúmè màmbírhì ni -múnè","màkúmè màmbírhì ni -múnè",NA,NA,"{CL″}10⋅{C″}2)+{and}4",NA,"(10 · 2) + 4","EAT",FALSE,TRUE,TRUE
"191","tson1249-2-25-1","tson1249-2",NA,"25",NA,"màkúmè màmbírhì ni ntlhánù","màkúmè màmbírhì ni ntlhánù",NA,NA,"{CL″}10⋅{C″}2)+{and}5",NA,"(10 · 2) + 5","EAT",FALSE,TRUE,TRUE
"192","tson1249-2-26-1","tson1249-2",NA,"26",NA,"màkúmè màmbírhì ni ntlh. ni -nʼwè","màkúmè màmbírhì ni ntlh. ni -nʼwè",NA,NA,"{CL″}10⋅{C″}2)+{and}5″+{and}1",NA,"(10 · 2) + (5 + 1)","EAT",FALSE,TRUE,TRUE
"193","tson1249-2-27-1","tson1249-2",NA,"27",NA,"màkúmè màmbírhì ni ntlh. ni -mbìrhì","màkúmè màmbírhì ni ntlh. ni -mbìrhì",NA,NA,"{CL″}10⋅{C″}2)+{and}5″+{and}2",NA,"(10 · 2) + (5 + 2)","EAT",FALSE,TRUE,TRUE
"194","tson1249-2-28-1","tson1249-2",NA,"28",NA,"màkúmè màmbírhì ni ntlh. ni -nhárhù","màkúmè màmbírhì ni ntlh. ni -nhárhù",NA,NA,"{CL″}10⋅{C″}2)+{and}5″+{and}3",NA,"(10 · 2) + (5 + 3)","EAT",FALSE,TRUE,TRUE
"195","tson1249-2-29-1","tson1249-2",NA,"29",NA,"màkúmè màmbírhì ni ntlh. ni -múnè","màkúmè màmbírhì ni ntlh. ni -múnè",NA,NA,"{CL″}10⋅{C″}2)+{and}5″+{and}4",NA,"(10 · 2) + (5 + 4)","EAT",FALSE,TRUE,TRUE
"196","wumb1242-2-70-1","wumb1242-2",NA,"70",NA,"mɛ̀kó mɛ́ꜜtáyì nɛ̀ byɔ́ːlɛ́","mɛ̀kó mɛ́ꜜtáyì nɛ̀ byɔ́ːlɛ́",NA,NA,"{PLU?}10⋅({PLU?}5′+{+}12",NA,NA,"EAT",FALSE,TRUE,TRUE
"197","wumb1242-2-80-1","wumb1242-2",NA,"80",NA,"mɛ̀kó mɛ́ꜜtáyì nɛ̀ mɛ́ꜜʃáːtó","mɛ̀kó mɛ́ꜜtáyì nɛ̀ mɛ́ꜜʃáːtó",NA,NA,"{PLU?}10⋅({PLU?}5′+{+}{PLU?}3","REVISE THE ‘PLU’ AND ‘?’ MARKERS",NA,"EAT",FALSE,TRUE,TRUE
"198","wumb1242-2-90-1","wumb1242-2",NA,"90",NA,"mɛ̀kó mɛ́ꜜtáyì nɛ̀ mɛ́ꜜnáyì","mɛ̀kó mɛ́ꜜtáyì nɛ̀ mɛ́ꜜnáyì",NA,NA,"{PLU?}10⋅({PLU?}5′+{+}{PLU}4",NA,NA,"EAT",FALSE,TRUE,TRUE
