glottocode,Parameter_ID,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
bull1247,six,mɛ̀m-búl,membul,( 5 + 1 ),FALSE,5’+1,,
bull1247,seven,mɛ̀ncə́ŋ,mencang,( 5 + 2 ),FALSE,5’+2,,
bull1247,eight,mɛ̀nrá,menra,( 5 + 3 ),FALSE,5’+3,,
bull1247,nine,mɛ̀nnyɔ́l,mennyol,( 5 + 4 ),FALSE,5’+4,,
bull1247,ten,wàm,wam,,FALSE,10,,
bull1247,eleven,wàm-nù-bùl,wamnubul,,FALSE,10+{+}1,,
bull1247,twelve,wànùcə́ŋ,wanucang,,FALSE,10+{+}2,,
bull1247,thirteen,wànùrá,wanura,,FALSE,10+{+}3,,
bull1247,fourteen,wànùnyɔ́l,wanunyol,,FALSE,10+{+}4,,
bull1247,fifteen,wànùmán,wanuman,,FALSE,10+{+}5,,
bull1247,sixteen,wàm-nù-mɛ̀m-búl,wamnumembul,,FALSE,10+{+}5+1,,
bull1247,seventeen,wànùmɛ̀ncə́ŋ,wanumencang,,FALSE,10+{+}5+2,,
bull1247,eighteen,wànùmɛ̀nrá,wanumenra,,FALSE,10+{+}5+3,,
bull1247,nineteen,wànùmɛ̀nnyɔ́l,wanumennyol,,FALSE,10+{+}5+4,,
bull1247,twenty,ùtɔ̀ŋ,utong,,FALSE,20,,
bull1247,twentyone,ùtɔ̀ŋ-nù-bùl,utongnubul,,FALSE,20+{+}1,,
bull1247,twentytwo,ùtɔ̀ŋ-nù-cə́ŋ,utongnucang,,FALSE,20+{+}2,,
bull1247,twentythree,ùtɔ̀ŋ-nù-rá,utongnura,,FALSE,20+{+}3,,
bull1247,twentyfour,ùtɔ̀ŋ-nù-nyɔ́l,utongnunyol,,FALSE,20+{+}4,,
bull1247,twentyfive,ùtɔ̀ŋ-nù-mán,utongnuman,,FALSE,20+{+}5,,
bull1247,twentysix,ùtɔ̀ŋ-nù-mɛ̀m-búl,utongnumembul,,FALSE,20+{+}5+{+}1,,
bull1247,twentyseven,ùtɔ̀ŋ-nù-mɛ̀ncə́ŋ,utongnumencang,,FALSE,20+{+}5+{+}2,,
bull1247,twentyeight,ùtɔ̀ŋ-nù-mɛ̀nrá,utongnumenra,,FALSE,20+{+}5+{+}3,,
bull1247,twentynine,ùtɔ̀ŋ-nù-mɛ̀nnyɔ́l,utongnumennyol,,FALSE,20+{+}5+{+}4,,
bull1247,thirty,òtɔ̀n-núwàŋ,otonnuwang,( 20 + 10 ),FALSE,20+{+}10,,
bull1247,forty,òtɔ̀n-cə̀ŋ,otoncang,( 20 x  2 ),FALSE,20·2,,
bull1247,fifty,ìtɔ̀n-cə̀ŋ-núwàŋ,itoncangnuwang,,FALSE,(20’·2)+{+}10,,
bull1247,sixty,ìtɔ́n-rà,itonra,( 20 x  3 ),FALSE,20’·3,,
bull1247,seventy,ìtɔ́n-rà-nú-wàŋ,itonranuwang,,FALSE,(20’·2)+{+}10,,
bull1247,eighty,ìtɔ́n-nyɔ̀l,itonnyol,( 20 x  4 ),FALSE,20·4,,
bull1247,ninety,ìtɔ́n-nyɔ̀l-nú-wàŋ,itonnyolnuwang,,FALSE,(20’·4)+{+}10,,
bull1247,hundred,kɛ̀mɛ̀,keme,,FALSE,100,,
bull1247,hundred,pé,pe,( 'kɛ̀mɛ ' from Soso ),FALSE,100’,,
bull1247,twohundred,kɛ̀mɛ̀,keme,,FALSE,?,,same form as 100?
bull1247,thousand,wúlú,wulu,( from Soso ),FALSE,1000,,
bull1247,twothousand,wúlu,wulu,,FALSE,?,same form as 1000,
east2387,one,hantʰe,hanthe,,FALSE,1,,
east2387,two,kale,kale,,FALSE,{CL}2,,
east2387,three,katati,katati,,FALSE,{CL}3,,
east2387,four,kanaŋ,kanang,,FALSE,{CL}4,,
east2387,five,kasɔhi,kasohi,,FALSE,{CL}5,,
east2387,six,kasɔŋ hantʰe,kasonghanthe,( 5 + 1 ),FALSE,{CL}5+1,,
east2387,seven,kasɔŋ kale,kasongkale,( 5 + 2 ),FALSE,{CL}5+{CL}2,,
east2387,eight,kasɔŋ katati,kasongkatati,( 5 + 3 ),FALSE,{CL}5+{CL}3,,
east2387,nine,kasɔŋ kanaŋ,kasongkanang,( 5 + 4 ),FALSE,{CL}5+{CL}4,,
east2387,ten,kɔhi,kohi,,FALSE,10,,
east2387,eleven,kɔhi iŋ hantʰe,kohiinghanthe,,FALSE,10+{and}1,,
east2387,twelve,kɔhi iŋ kale,kohiingkale,,FALSE,10+{and}{CL}2,,
east2387,thirteen,kɔhi iŋ katati,kohiingkatati,,FALSE,10+{and}{CL}3,,
east2387,fourteen,kɔhi iŋ kanaŋ,kohiingkanang,,FALSE,10+{and}{CL}4,,
east2387,fifteen,kɔhi iŋ kasɔhi,kohiingkasohi,,FALSE,10+{and}{CL}5,,
east2387,sixteen,kɔhi iŋ kasɔŋ hante,kohiingkasonghante,,FALSE,10+{and}{CL}5+1,,
east2387,seventeen,kɔhi iŋ kasɔŋ kale,kohiingkasongkale,,FALSE,10+{and}{CL}5+{CL}2,,
east2387,eighteen,kɔhi iŋ kasɔŋ katati,kohiingkasongkatati,,FALSE,10+{and}{CL}5+{CL}3,,
east2387,nineteen,kɔhi iŋ kasɔŋ kanaŋ,kohiingkasongkanang,,FALSE,10+{and}{CL}5+{CL}4,,
east2387,twenty,kɔhi kale,kohikale,,FALSE,10·{CL}2,,
east2387,twentyone,kɔhi kale iŋ hantʰe,kohikaleinghanthe,,FALSE,(10·{CL}2)+{+}1,,
east2387,twentytwo,kɔhi kale iŋ kale,kohikaleingkale,,FALSE,(10·{CL}2)+{+}2,,
east2387,twentythree,kɔhi kale iŋ katati,kohikaleingkatati,,FALSE,(10·{CL}2)+{+}3,,
east2387,twentyfour,kɔhi kale iŋ kanaŋ,kohikaleingkanang,,FALSE,(10·{CL}2)+{+}4,,
east2387,twentyfive,kɔhi kale iŋ kasɔhi,kohikaleingkasohi,,FALSE,(10·{CL}2)+{+}5,,
east2387,twentysix,kɔhi kale iŋ kasɔŋ hante,kohikaleingkasonghante,,FALSE,(10·{CL}2)+{+}5+1,,
