Glottocode	Language_ID	Parameter_ID	Form	Gloss	Comments	Source	Coder
anga1293	anga1293-1	6	towa	5+1(?)		Barlowpacific	EAT
anga1293	anga1293-1	7	holo	5+2(?)		Barlowpacific	EAT
anga1293	anga1293-1	7	hoklao	5+2(?)		Barlowpacific	EAT
anga1293	anga1293-1	8	tulap	3[+][5](?)		Barlowpacific	EAT
anga1293	anga1293-1	8	tukap	3[+][5](?)		Barlowpacific	EAT
anga1293	anga1293-1	9	toponpombor	5[·][2][-]1		Barlowpacific	EAT
anga1293	anga1293-1	10	toponkap	5·[2]{-2}(?)		Barlowpacific	EAT
anga1293	anga1293-1	11	topontep	5·[2]{-3}(?)		Barlowpacific	EAT
anga1293	anga1293-1	12	tutep			Barlowpacific	EAT
anga1293	anga1293-1	13	mokloapunpombor			Barlowpacific	EAT
anga1293	anga1293-1	14	moklaopunkap			Barlowpacific	EAT
anga1293	anga1293-1	15	moklaopuntep			Barlowpacific	EAT
anga1293	anga1293-1	16	tumoklaopu			Barlowpacific	EAT
anga1293	anga1293-1	16	moklaopuhormend			Barlowpacific	EAT
anga1293	anga1293-1	17	supunpombor	5+10-1		Barlowpacific	EAT
anga1293	anga1293-1	18	supunkap			Barlowpacific	EAT
anga1293	anga1293-1	19	supuntep			Barlowpacific	EAT
anga1293	anga1293-1	20	tusupu			Barlowpacific	EAT
anga1293	anga1293-1	20	supuhormend			Barlowpacific	EAT
anga1293	anga1293-1	20	supuhorpomor			Barlowpacific	EAT
anga1293	anga1293-1	21	towapunpombor			Barlowpacific	EAT
anga1293	anga1293-1	22	towapunkap			Barlowpacific	EAT
anga1293	anga1293-1	23	towapuntep			Barlowpacific	EAT
anga1293	anga1293-1	24	tutowapu			Barlowpacific	EAT
anga1293	anga1293-1	24	towapuhormend			Barlowpacific	EAT
anga1293	anga1293-1	25	kerepunpombor			Barlowpacific	EAT
anga1293	anga1293-1	26	kerepunkap			Barlowpacific	EAT
anga1293	anga1293-1	27	kerepuntep			Barlowpacific	EAT
anga1293	anga1293-1	28	tukerepu			Barlowpacific	EAT
anga1293	anga1293-1	28	kerepuhormend			Barlowpacific	EAT
anga1293	anga1293-1	29	pelenpunpombor			Barlowpacific	EAT
anga1293	anga1293-1	30	pelenpunkap			Barlowpacific	EAT
anga1293	anga1293-1	31	pelenpuntep			Barlowpacific	EAT
anga1293	anga1293-1	32	tupelenpu			Barlowpacific	EAT
